name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_super,extraction_super_mistake_after,dfa_extract_super_states,dfa_extract_super_final,dfa_extract_super_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
2_8,2,14.7,NAN,15,8,38112,9.07e+02,"('c', 'd', 'b', 'd', 'c', 'e')",233,138,3159545,7.13,NAN,233,138,16602,5.66,"('d', 'd', 'a', 'd', 'c', 'e', 'a', 'c', 'c', 'a', 'd', 'a', 'b', 'e', 'd', 'b', 'a', 'c', 'b', 'b', 'd', 'a', 'c', 'a', 'c', 'e', 'b', 'b', 'a', 'c', 'd', 'e', 'a', 'c', 'e', 'd', 'b', 'a', 'a', 'e', 'c', 'c', 'c', 'e', 'd', 'e', 'e', 'e', 'a', 'c', 'b', 'e', 'b', 'c', 'c', 'c', 'c', 'b', 'e', 'b', 'c', 'd', 'b', 'c', 'b', 'c', 'a', 'a', 'e', 'b', 'd', 'd', 'e', 'b', 'd', 'a', 'e', 'a', 'd', 'b', 'c', 'c', 'b', 'b', 'c', 'c', 'b', 'e', 'a', 'e', 'b', 'd', 'd', 'b', 'a', 'c', 'c', 'c', 'b', 'e', 'b', 'd', 'c', 'd', 'd', 'b', 'd', 'd', 'd', 'd', 'e', 'e', 'a', 'b', 'e', 'd', 'b', 'c', 'e', 'd', 'b', 'e', 'a', 'b', 'e', 'd', 'b', 'e', 'b', 'e', 'e', 'c', 'b', 'b', 'b', 'a', 'd', 'd', 'd', 'c', 'a', 'b', 'b', 'd', 'b', 'e', 'd', 'e', 'b', 'e', 'c', 'a', 'e', 'd', 'c', 'c', 'a', 'a', 'a', 'd', 'c', 'e', 'b', 'a', 'e', 'e', 'c', 'a', 'e', 'b', 'd', 'c', 'e', 'b', 'c', 'c', 'a', 'b', 'b', 'd', 'e', 'c', 'c', 'c', 'c', 'd', 'd', 'd', 'b', 'b', 'b', 'c', 'e', 'c', 'c', 'b', 'a', 'b', 'd', 'd', 'b', 'c', 'd', 'a', 'b', 'd', 'b', 'b', 'd', 'b', 'e', 'e', 'e', 'e', 'd', 'c', 'a', 'b', 'c', 'd', 'b', 'c', 'c', 'a', 'b', 'd', 'd', 'e', 'a', 'b', 'e', 'a', 'd', 'e', 'd', 'd', 'c', 'b', 'd', 'e', 'b', 'c', 'a', 'a', 'e', 'c', 'd', 'e', 'e', 'e', 'c', 'b', 'c', 'c', 'a', 'c', 'b', 'b', 'b', 'd', 'd', 'a', 'a', 'e', 'a', 'd', 'c', 'd', 'b', 'a', 'a', 'a', 'b')",13000
2_8,3,31.3,NAN,15,8,73266,9.01e+02,"('c', 'd', 'b', 'd', 'c', 'e')",251,161,3468759,7.54,NAN,251,161,16602,7.19,"('c', 'b', 'b', 'd', 'e', 'd', 'c', 'd')",16400
2_8,4,39.7,NAN,15,8,91467,9e+02,"('c', 'd', 'b', 'd', 'c', 'e')",225,141,2891599,7.21,NAN,225,141,16602,13.1,"('c', 'b', 'b', 'd', 'd', 'a', 'b', 'e', 'c', 'e', 'a', 'c', 'c', 'b', 'c')",29200
2_8,5,31.5,NAN,15,8,71318,9.02e+02,"('c', 'd', 'b', 'd', 'c', 'e')",190,121,2647518,7.03,NAN,190,121,16602,1.28,"('c', 'a', 'b', 'b', 'a', 'e', 'a', 'a', 'b', 'e', 'b', 'd', 'd', 'c', 'b', 'a', 'b', 'c', 'e', 'a', 'a', 'b', 'a', 'd', 'b', 'e', 'd', 'c', 'c', 'e', 'c', 'e', 'd', 'e', 'd', 'd', 'c', 'a', 'a', 'd', 'a', 'd', 'b', 'a', 'b', 'e', 'd', 'b', 'd', 'd', 'b', 'b', 'e', 'a', 'd', 'd', 'd', 'a', 'a', 'a', 'c', 'd', 'e', 'b', 'c', 'c', 'e', 'a', 'd', 'd', 'a', 'd', 'd', 'a', 'd', 'a', 'b', 'b', 'b', 'c', 'b', 'b', 'c', 'e', 'a', 'a', 'a', 'a', 'e', 'c', 'c', 'c', 'b', 'b', 'c', 'd', 'b', 'e', 'b', 'd', 'd', 'c', 'b', 'c', 'c', 'a', 'e', 'e', 'e', 'e', 'c', 'c', 'b', 'd', 'd', 'e', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'c', 'a', 'd', 'e', 'c', 'd', 'a', 'c', 'd', 'e', 'e', 'c', 'e', 'e', 'e', 'c', 'a', 'c', 'c', 'e', 'a', 'e', 'e', 'c', 'c', 'c', 'd', 'd', 'd', 'd', 'c', 'c', 'b', 'b', 'e', 'a', 'a', 'e', 'c', 'e', 'b', 'a', 'd', 'e', 'e', 'e', 'a', 'e', 'b', 'a', 'e', 'b', 'e', 'a', 'b', 'e', 'a', 'e', 'c', 'e', 'a', 'd', 'c', 'e', 'b', 'e', 'a', 'b', 'b', 'd', 'c', 'b', 'd', 'c', 'd', 'a', 'a', 'b', 'c', 'e', 'b', 'c', 'a', 'b', 'b', 'd', 'c', 'd', 'd', 'd', 'd', 'b', 'c', 'a', 'd', 'c', 'b', 'a', 'b', 'c', 'b', 'e', 'd', 'e', 'b', 'd', 'b', 'a', 'e', 'e', 'c', 'a', 'b', 'e', 'd', 'b', 'c', 'e', 'b', 'a', 'c', 'c', 'b', 'd', 'd', 'a', 'e', 'a', 'c', 'd', 'c', 'd', 'e', 'd', 'd', 'b')",3000
2_5,1,21.1,NAN,12,2,48539,34.0,NAN,12,2,75073,6.32,NAN,12,2,16602,27.5,"('b', 'a', 'e', 'e', 'c', 'c', 'b', 'b', 'd', 'e', 'c', 'd', 'd', 'e', 'a', 'e', 'e', 'b', 'd', 'c', 'c', 'b', 'c', 'c', 'b', 'e', 'd', 'd', 'd', 'd', 'e', 'c', 'e', 'c', 'a', 'd', 'c', 'c', 'c', 'c', 'b', 'd', 'c', 'd', 'a', 'b', 'e', 'b', 'b', 'c', 'c', 'd', 'b', 'c', 'b', 'a', 'e', 'b', 'b', 'a', 'e', 'b', 'a', 'e', 'c', 'a', 'a', 'c', 'a', 'e', 'c', 'e', 'b', 'b', 'a', 'b', 'd', 'a', 'a', 'b', 'd', 'e', 'a', 'c', 'b', 'e', 'a', 'd', 'c', 'c', 'b', 'b', 'd', 'c', 'd', 'b', 'e', 'e', 'e', 'a', 'e', 'd', 'c', 'a', 'c', 'b', 'e', 'd', 'c', 'a', 'c', 'e', 'd', 'e', 'a', 'a', 'a', 'a', 'e', 'b', 'b', 'c', 'e', 'b', 'e', 'e', 'c', 'a', 'e', 'c', 'e', 'b', 'a', 'b', 'd', 'e', 'b', 'c', 'c', 'a', 'b', 'a', 'c', 'c', 'a', 'd', 'a', 'b', 'c', 'c', 'a', 'b', 'b', 'd', 'e', 'c', 'a', 'e', 'a', 'c', 'e', 'a', 'a', 'd', 'a', 'c', 'd', 'c', 'c', 'd', 'c', 'c', 'e', 'b', 'b', 'b', 'b', 'd', 'e', 'd', 'c', 'c', 'd', 'd', 'a', 'c', 'b', 'b', 'c', 'd', 'a', 'a', 'a', 'e', 'a', 'c', 'd', 'd', 'e', 'e', 'b', 'a', 'b', 'e', 'b', 'e', 'e', 'b', 'a', 'e', 'e', 'a', 'd', 'c', 'e', 'b', 'b', 'b', 'b', 'e', 'c', 'd', 'd', 'e', 'e', 'e', 'a', 'd', 'e', 'b', 'c', 'd', 'a', 'c', 'a', 'c', 'a', 'a', 'a', 'b', 'b', 'e', 'b', 'e', 'd', 'c', 'e', 'b', 'e', 'b', 'e', 'b', 'a', 'd', 'c', 'b', 'a', 'd', 'a', 'e', 'c', 'a', 'a', 'd', 'e', 'e', 'b', 'c', 'a', 'e', 'd', 'b', 'a', 'b', 'b', 'c', 'b', 'b', 'b', 'e', 'd', 'b', 'd', 'd', 'b', 'd', 'c', 'd', 'b')",68000
2_5,2,18.2,NAN,12,2,39045,26.7,NAN,12,2,59155,7.03,NAN,12,2,16602,51.3,NAN,120000
2_5,3,28.1,NAN,12,2,66029,15.7,NAN,12,2,36540,6.91,NAN,12,2,16602,50.7,NAN,120000
2_5,4,14.1,NAN,12,2,34225,16.4,NAN,12,2,36419,7.08,NAN,12,2,16602,10.7,"('c', 'e', 'c', 'b', 'b', 'b', 'e', 'b', 'a', 'e', 'b', 'e', 'e', 'c', 'd', 'b')",25000
2_5,5,14.1,NAN,12,2,34163,2e+02,NAN,27,4,414634,7.08,NAN,27,4,16602,17.1,"('b', 'c', 'b', 'e', 'c', 'e', 'd', 'b', 'b', 'b', 'c', 'd', 'a', 'c', 'e', 'b', 'a', 'c', 'c', 'c', 'e', 'c', 'b', 'b', 'b', 'e', 'e', 'd', 'c', 'd', 'b', 'd', 'b', 'a', 'e', 'b', 'a', 'c', 'b', 'd', 'b', 'b', 'b', 'a', 'd', 'b', 'b', 'b', 'c', 'e', 'd', 'a', 'e', 'c', 'b', 'd', 'd', 'b', 'a', 'e', 'd', 'a', 'c', 'e', 'd', 'a', 'd', 'a', 'c', 'b', 'b', 'd', 'e', 'e', 'b', 'a', 'e', 'b', 'd', 'd', 'b', 'b', 'a', 'b', 'a', 'b', 'd', 'b', 'e', 'b', 'e', 'c', 'b', 'a', 'a', 'b', 'a', 'e', 'a', 'b', 'e', 'a', 'b', 'd', 'a', 'a', 'c', 'a', 'c', 'e', 'd', 'a', 'd', 'e', 'a', 'd', 'd', 'c', 'a', 'b', 'c', 'c', 'a', 'b', 'a', 'e', 'e', 'e', 'a', 'c', 'd', 'd', 'e', 'c', 'a', 'a', 'e', 'b', 'c', 'd', 'c', 'a', 'c', 'c', 'd', 'e', 'd', 'd', 'e', 'e', 'd', 'b', 'a', 'd', 'd', 'b', 'c', 'e', 'a', 'b', 'e', 'e', 'b', 'e', 'd', 'b', 'e', 'd', 'b', 'e', 'd', 'b', 'd', 'a', 'd', 'c', 'd', 'e', 'c', 'd', 'c', 'a', 'e', 'b', 'd', 'd', 'e', 'b', 'd', 'b', 'e', 'a', 'c', 'b', 'b', 'a', 'b', 'c', 'b', 'c', 'e', 'a', 'd', 'a', 'c', 'c', 'b', 'b', 'e', 'c', 'a', 'e', 'd', 'e', 'a', 'a', 'a', 'e', 'd', 'd', 'd', 'c', 'a', 'a', 'c', 'c', 'e', 'c', 'c', 'a', 'c', 'c', 'd', 'a')",40400
2_3,1,1.41e+02,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",23,2,204924,9.05e+02,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",202,17,2609609,64.4,NAN,202,17,149449,3.28,"('c', 'd', 'e', 'c', 'd', 'a', 'd', 'a', 'a', 'b', 'b', 'd', 'e', 'c', 'e', 'c', 'd', 'e', 'c', 'c', 'e', 'e', 'd', 'b', 'd', 'b', 'e', 'e', 'c', 'c', 'e', 'a', 'e', 'e', 'b', 'd', 'c', 'a', 'a', 'b', 'd', 'e', 'e', 'a', 'd', 'c', 'a', 'a', 'e', 'd', 'a', 'b', 'b', 'b', 'c', 'a', 'c', 'b', 'c', 'd', 'e', 'e', 'b', 'c', 'a', 'd', 'e', 'b', 'e', 'e', 'c', 'a', 'd', 'c', 'c', 'e', 'c', 'a', 'e', 'e')",7600
2_3,2,23.6,NAN,19,2,58572,9.01e+02,NAN,234,25,3309175,9.14e+02,"('a', 'd', 'c', 'c', 'e', 'a', 'a', 'e')",234,25,2175913,6.22,"('b', 'a', 'a', 'd', 'c', 'c', 'e', 'e', 'd', 'a', 'a', 'd', 'c', 'e', 'c', 'b', 'e', 'd', 'e', 'd', 'c', 'a', 'e', 'b', 'e', 'a', 'c', 'a', 'c', 'd', 'b', 'a', 'd', 'a', 'c', 'a', 'b', 'a', 'a', 'a', 'b', 'd', 'e', 'e', 'd', 'd', 'd', 'c', 'e', 'b', 'c', 'b', 'e', 'b', 'd', 'b', 'd', 'a', 'a', 'b', 'a', 'e', 'd', 'c', 'd', 'd', 'e', 'e', 'a', 'c', 'e', 'd', 'd', 'd', 'a', 'e', 'b', 'b', 'c', 'e', 'e', 'd', 'd', 'd', 'c', 'b', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'e', 'c', 'c', 'a', 'd', 'b', 'c', 'c', 'd', 'c', 'd', 'e', 'd', 'a', 'a', 'b', 'e', 'e', 'a', 'b', 'a', 'a', 'c', 'e', 'a', 'a', 'c', 'c', 'b', 'b', 'a', 'd', 'c', 'e', 'e', 'a', 'd', 'c', 'b', 'd', 'a', 'a', 'b', 'c', 'b', 'b', 'e', 'e', 'd', 'd', 'a', 'a', 'c', 'c', 'b', 'e', 'e', 'c', 'e', 'd', 'a', 'b', 'c', 'a', 'e', 'b', 'd', 'd', 'a', 'd', 'c', 'e', 'b', 'c', 'd', 'd', 'b', 'a', 'e', 'd', 'a', 'a', 'a', 'c', 'a', 'a', 'b', 'd', 'd', 'e', 'd', 'b', 'c', 'd', 'd', 'e', 'c', 'd', 'd', 'c', 'c', 'c', 'b', 'c', 'a', 'c', 'd', 'b', 'd', 'e', 'e', 'd', 'e', 'a', 'a', 'e', 'c', 'e', 'b', 'd', 'd', 'b', 'c', 'b', 'a', 'c', 'd', 'b', 'c', 'b', 'a', 'a', 'd', 'd', 'e', 'e', 'a', 'c', 'c', 'b', 'b', 'c', 'a', 'd', 'c', 'c', 'e', 'b', 'd', 'a', 'd', 'd', 'c', 'b', 'b', 'd', 'b', 'b', 'd', 'c', 'c', 'a', 'e', 'd', 'b', 'c', 'b')",14800
