name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
2_13,1.15e+04,531,104,0.00010047626840929555,0.001058171996204209,0.0009977527118783535
2_12,1.41e+04,512,141,0.0009860694248540168,0.0017494887798442458,0.0009136330453031294
2_8,1.31e+04,518,308,0.00012884996546839897,0.0021290287040348407,0.00206827561150829
2_5,1.3e+04,522,70,4.740076449873744e-05,6.776306474115282e-05,3.171177906605674e-05
2_3,2.1e+04,523,49,0.00014053325249273565,0.00024902091771871924,0.00011449621283849959
2_14,1.25e+04,527,216,9.279867979330287e-05,0.00035417050093774946,0.00030476688723484
