name,extraction_time,Timeout,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
2_13,2.14e+02,300,260,48,0.0001185019112468436,0.00014120086889412632,3.271320366814274e-05
2_12,3.16e+02,300,263,66,0.0009743861378296802,0.001805568557561062,0.0009720494804248129
2_8,2.26e+02,300,274,156,0.00012951758186978963,0.0003318053514911621,0.0002223162616630925
2_5,2.18e+02,300,259,34,5.040503830499544e-05,0.0013799631016745112,0.001330893296172297
2_3,3.59e+02,300,273,27,0.00012851615726770362,0.00013786278688717298,1.9360875640329377e-05
2_14,2.21e+02,300,276,114,9.847341920512355e-05,0.0036251570595513282,0.003529354105951767
