name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
3,spec_second_1.dot,13.4,"('c', 'c', 'b', 'a', 'b', 'c', 'e')",18,15,20416,"[(('c', 'c'), ('b', 'a'), ('b', 'c', 'e'), 99, 'from spec'), (('c', 'c', 'b'), ('a', 'b'), ('c', 'e'), 99, 'from spec'), ((), ('c', 'c', 'b', 'a', 'b', 'c', 'e'), (), 99, 'from spec')]"
3,spec_second_3.dot,5.45,"('c', 'a', 'b', 'c', 'c', 'd', 'b', 'a', 'b', 'd')",21,18,10732,"[(('c', 'a', 'b'), ('c',), ('c', 'd', 'b', 'a', 'b', 'd'), 98, 'from spec'), (('c', 'a', 'b'), ('c', 'c'), ('d', 'b', 'a', 'b', 'd'), 98, 'from spec'), (('c', 'a', 'b', 'c', 'c', 'd'), ('b', 'a'), ('b', 'd'), 99, 'from spec'), (('c', 'a', 'b', 'c', 'c', 'd', 'b'), ('a', 'b'), ('d',), 99, 'from spec')]"
5,spec_second_4.dot,0.519,"('a', 'b', 'd', 'e', 'e')",5,1,694,"[(('a', 'b'), ('d',), ('e', 'e'), 60, 'from spec'), ((), ('a', 'b', 'd', 'e'), ('e',), 50, 'from spec')]"
5,spec_second_2.dot,1.19,"('c', 'c', 'e', 'e')",10,1,2093,[]
5,spec_second_1.dot,0.331,"('a', 'c', 'b', 'a', 'e')",5,1,636,[]
5,spec_second_5.dot,0.405,"('a', 'b', 'b', 'e', 'e')",7,1,1081,"[(('a', 'b'), ('b',), ('e', 'e'), 66, 'from spec')]"
5,spec_second_3.dot,1.98,"('c', 'c', 'e', 'e')",12,1,2379,[]
24,spec_second_4.dot,26.1,"('a', 'e', 'd', 'c', 'a', 'a', 'e', 'e', 'c', 'd', 'd', 'b', 'b', 'd')",42,24,35142,"[(('a', 'e', 'd', 'c'), ('a',), ('a', 'e', 'e', 'c', 'd', 'd', 'b', 'b', 'd'), 72, 'from spec'), (('a', 'e', 'd', 'c'), ('a', 'a'), ('e', 'e', 'c', 'd', 'd', 'b', 'b', 'd'), 76, 'from spec')]"
24,spec_second_2.dot,4.67,"('c', 'd', 'b', 'b', 'd', 'd', 'd', 'b', 'c', 'b', 'd')",33,21,16301,[]
24,spec_second_1.dot,7.57,"('d', 'c', 'e', 'a', 'b', 'a', 'c', 'e', 'c', 'c', 'c')",33,16,19326,"[(('d', 'c'), ('e', 'a', 'b', 'a', 'c', 'e', 'c', 'c', 'c'), (), 99, 'from spec'), (('d',), ('c', 'e', 'a', 'b', 'a', 'c', 'e', 'c', 'c', 'c'), (), 50, 'from spec')]"
24,spec_second_5.dot,8.04,"('c', 'd', 'd', 'b', 'c', 'c', 'd', 'd', 'd', 'a')",30,18,22796,"[(('c', 'd', 'd', 'b'), ('c', 'c', 'd', 'd', 'd'), ('a',), 99, 'from spec')]"
24,spec_second_3.dot,9.33,"('b', 'e', 'b', 'b', 'd', 'c', 'e', 'c', 'a', 'b', 'd')",32,22,25544,"[((), ('b', 'e', 'b', 'b', 'd', 'c', 'e', 'c'), ('a', 'b', 'd'), 50, 'from spec')]"
27,spec_second_4.dot,33.4,"('b', 'd', 'b', 'd', 'c', 'e', 'e', 'd', 'e', 'a', 'e', 'd', 'a', 'b', 'c', 'b')",35,15,43005,"[(('b', 'd', 'b', 'd', 'c', 'e'), ('e', 'd', 'e', 'a', 'e', 'd', 'a', 'b'), ('c', 'b'), 99, 'from spec')]"
27,spec_second_2.dot,7.82,"('a', 'b', 'e', 'e', 'c', 'b', 'a', 'c', 'b', 'c', 'b', 'b', 'c')",30,14,22176,"[(('a', 'b'), ('e', 'e', 'c', 'b'), ('a', 'c', 'b', 'c', 'b', 'b', 'c'), 99, 'from spec'), ((), ('a', 'b', 'e', 'e', 'c', 'b', 'a', 'c', 'b', 'c'), ('b', 'b', 'c'), 99, 'from spec')]"
27,spec_second_1.dot,61.9,"('b', 'd', 'd', 'd', 'c', 'b')",47,23,48908,[]
27,spec_second_3.dot,1.72,"('b', 'd', 'd', 'd', 'c', 'b')",18,9,6780,[]
