name,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,0.13633496010491847,0.1044606164451231,0.16968440220358652
12,0.00038956752253948266,0.002294277115707059,0.0021510733976087605
2,0.11565854634564877,1.3352328027813364e-08,0.11565854634564877
11,9.414726492411203e-05,9.414726492411203e-05,1.3352328027813364e-08
3,0.14844919351635283,0.13425299835718166,0.19392789039548652
5,0.051933893216508105,0.06949487503868824,0.05775417300383195
14,0.00021331679257234628,0.0010915661686017703,0.0008822684267657958
6,9.514868952619802e-05,0.00014421849502841214,4.908315783024192e-05
10,3.8067487207295897e-05,8.0127320494908e-05,4.6078884023983914e-05
1,9.915438793454204e-05,0.0019027200962914322,0.00180558190988909
