name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,9.03,NAN,8,1,27485
13,spec_4.dot,8.72,NAN,8,1,27197
13,spec_1.dot,8.68,NAN,8,1,27232
13,spec_3.dot,8.72,NAN,8,1,27196
13,spec_2.dot,8.7,NAN,8,1,27225
22,spec_1.dot,8.77,"('b', 'c', 'e', 'e', 'b')",14,10,10145
22,spec_2.dot,9.15,"('e', 'e', 'e', 'c', 'a', 'd')",13,10,24637
7,spec_5.dot,88.2,"('b', 'b', 'e', 'b', 'c', 'c', 'a', 'b', 'd', 'a', 'b', 'b')",51,11,53159
7,spec_4.dot,6.82,"('b', 'c', 'a', 'a', 'c', 'e')",22,5,13690
7,spec_1.dot,2.73,"('a', 'b', 'd', 'a', 'e', 'b', 'c', 'a', 'a')",23,6,7021
7,spec_3.dot,2.42,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'd', 'a')",22,5,6954
7,spec_2.dot,12.3,"('a', 'b', 'd', 'd', 'b', 'b', 'e', 'a', 'd', 'a', 'c', 'd', 'a', 'a', 'b')",33,9,23077
28,spec_4.dot,1.69,"('a', 'b', 'd', 'a', 'c', 'b', 'b')",24,20,8040
28,spec_1.dot,10.0,"('a', 'b', 'e', 'c', 'c', 'c', 'd', 'a', 'b', 'a')",29,22,19624
28,spec_3.dot,8.29,"('a', 'b', 'e', 'c', 'c', 'c', 'd', 'a', 'b', 'a')",36,28,24059
28,spec_2.dot,2.0,"('a', 'c', 'e', 'e', 'd', 'd', 'c')",25,22,9073
26,spec_4.dot,9.6,NAN,9,4,28908
26,spec_1.dot,9.26,NAN,9,4,28653
26,spec_3.dot,9.74,NAN,9,4,28631
26,spec_2.dot,10.0,NAN,9,4,28919
9,spec_5.dot,30.2,"('c', 'b', 'a', 'c', 'e', 'd', 'd', 'a', 'd', 'b')",31,20,35708
9,spec_4.dot,10.4,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a')",28,19,23724
9,spec_1.dot,13.4,"('a', 'd', 'c', 'a', 'e', 'e', 'e', 'c', 'd', 'a')",30,21,19045
9,spec_3.dot,25.2,"('a', 'a', 'b', 'c', 'd', 'e', 'e', 'c', 'd', 'a', 'a', 'c')",54,38,52441
9,spec_2.dot,20.7,"('a', 'e', 'e', 'b', 'b', 'e', 'd', 'c', 'b', 'a')",29,20,15537
11,spec_5.dot,13.2,"('e', 'b', 'a', 'a', 'b', 'c', 'c', 'e', 'a', 'b', 'c', 'a')",47,30,37090
11,spec_4.dot,2.02,"('a', 'e', 'c', 'b', 'a', 'a', 'd', 'd')",32,19,13230
11,spec_1.dot,28.5,"('c', 'b', 'a', 'a', 'd', 'a', 'b', 'a')",33,21,20621
11,spec_3.dot,7.23,"('a', 'b', 'e', 'b', 'e', 'a', 'a', 'd', 'e', 'a', 'd', 'd', 'c', 'e')",41,28,38838
11,spec_2.dot,11.6,"('e', 'e', 'a', 'b', 'c', 'c', 'e', 'a', 'd', 'd', 'e', 'e')",37,24,22227
3,spec_5.dot,91.4,"('a', 'e', 'c', 'c', 'd', 'b', 'e', 'b', 'd', 'b', 'a', 'b', 'b')",45,37,81037
3,spec_4.dot,13.5,"('b', 'd', 'c', 'b', 'a', 'b', 'c', 'd', 'b', 'a')",31,26,26934
3,spec_1.dot,19.2,"('a', 'e', 'b', 'c', 'c', 'd', 'b', 'a', 'b', 'b')",46,38,53394
3,spec_3.dot,4.26,"('c', 'c', 'b', 'a', 'b', 'c', 'e')",17,14,6484
3,spec_2.dot,3.9,"('c', 'c', 'b', 'a', 'b', 'c', 'e')",18,14,10994
5,spec_5.dot,0.56,"('a', 'b', 'b', 'e', 'e')",6,1,913
5,spec_4.dot,0.475,"('a', 'b', 'b', 'e', 'e')",6,1,705
5,spec_1.dot,0.466,"('a', 'b', 'b', 'e', 'e')",6,1,907
5,spec_3.dot,1.18,"('c', 'c', 'e', 'e')",16,1,4505
5,spec_2.dot,0.356,"('a', 'b', 'b', 'e', 'e')",7,1,887
24,spec_5.dot,22.4,"('b', 'd', 'd', 'c', 'a', 'e', 'e', 'c', 'd', 'd', 'c', 'b')",36,20,42193
24,spec_4.dot,20.7,"('d', 'c', 'c', 'b', 'd', 'd', 'a', 'c', 'a', 'a', 'a', 'c')",40,23,44657
24,spec_1.dot,26.1,"('d', 'b', 'e', 'e', 'e', 'e', 'a', 'd', 'c', 'a', 'c', 'e', 'b', 'a')",34,19,52293
24,spec_3.dot,12.3,"('a', 'a', 'b', 'b', 'a', 'c', 'd', 'e', 'd', 'd', 'a', 'c', 'c', 'e', 'a', 'a', 'a', 'c')",42,26,29011
24,spec_2.dot,85.6,"('a', 'e', 'd', 'b', 'e', 'a', 'b', 'e', 'e', 'a', 'b', 'a', 'b')",34,22,64280
27,spec_5.dot,12.4,"('b', 'd', 'd', 'd', 'b')",19,9,32793
27,spec_4.dot,1.49e+02,"('d', 'd', 'e', 'b', 'b', 'a', 'a', 'd', 'a', 'a')",22,11,42901
27,spec_1.dot,1.25,"('b', 'd', 'd', 'd', 'b')",19,9,5593
27,spec_3.dot,10.3,"('a', 'e', 'a', 'e', 'e', 'a', 'd', 'b', 'c')",24,12,26940
27,spec_2.dot,3.12,"('b', 'd', 'd', 'd', 'b')",21,10,10539
21,spec_5.dot,8.7,"('b', 'a', 'd', 'a', 'e', 'a', 'a', 'e', 'b', 'b', 'b')",38,12,21986
21,spec_4.dot,16.3,"('c', 'e', 'b', 'e', 'c', 'b', 'b', 'd', 'b', 'd', 'a')",32,12,32378
21,spec_1.dot,15.7,"('b', 'e', 'a', 'e', 'a', 'a', 'a', 'e', 'b', 'd', 'c', 'b')",42,12,42591
21,spec_3.dot,28.8,NAN,24,9,55261
21,spec_2.dot,3.61,"('b', 'a', 'b', 'd', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'd', 'b')",33,14,14676
19,spec_5.dot,1.09,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_4.dot,1.09,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_1.dot,1.1,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_3.dot,1.11,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_2.dot,1.11,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
29,spec_5.dot,11.1,"('c', 'a', 'e', 'b', 'b', 'a', 'c', 'c', 'e', 'b', 'a', 'e')",27,7,22733
29,spec_4.dot,6.83,"('c', 'c', 'e', 'e', 'c', 'a', 'b', 'b')",25,8,12334
29,spec_1.dot,2.31e+02,"('a', 'b', 'e', 'c', 'd', 'c', 'b', 'b', 'c', 'a', 'b', 'b', 'c')",52,10,60271
29,spec_3.dot,1.49e+02,"('a', 'a', 'a', 'b', 'a', 'b', 'b', 'b', 'c', 'd', 'c', 'c', 'c')",40,9,47739
29,spec_2.dot,3.62,"('a', 'c', 'a', 'a', 'c', 'c', 'e', 'b', 'b', 'e')",25,7,10212
6,spec_5.dot,33.3,"('b', 'a', 'b', 'e', 'e', 'e', 'a', 'c', 'a')",18,1,51143
6,spec_4.dot,12.5,"('b', 'a', 'b', 'c', 'b', 'c', 'e', 'c', 'a', 'd', 'a', 'b', 'a', 'd', 'a')",34,3,36258
6,spec_1.dot,9.79,"('b', 'a', 'b', 'e', 'e', 'a', 'c', 'a')",19,1,10654
6,spec_3.dot,8.09,"('b', 'a', 'b', 'e', 'e', 'a', 'c', 'a')",16,1,18243
6,spec_2.dot,16.4,NAN,15,1,39979
16,spec_4.dot,12.2,"('b', 'c', 'd', 'b', 'a', 'e', 'b', 'e', 'a', 'a', 'b')",27,15,10962
16,spec_1.dot,1.8,"('c', 'b', 'd', 'a', 'e', 'c', 'b', 'e')",28,16,10240
16,spec_3.dot,2.38e+02,"('b', 'c', 'c', 'c', 'd', 'd', 'a', 'e', 'b', 'c', 'e', 'b')",31,21,53189
16,spec_2.dot,13.0,"('a', 'a', 'a', 'e', 'b', 'b', 'e', 'a', 'a', 'b', 'd', 'b', 'b')",28,18,25756
20,spec_5.dot,7.59,"('e', 'b', 'b', 'c', 'd', 'a', 'e', 'b')",30,14,21529
20,spec_4.dot,21.0,"('e', 'b', 'b', 'c', 'd', 'a', 'e', 'b')",24,11,13319
20,spec_1.dot,21.5,"('b', 'e', 'a', 'e', 'a', 'c', 'b', 'd', 'a', 'd', 'a', 'b')",26,11,30983
20,spec_3.dot,45.3,"('e', 'b', 'a', 'd', 'c', 'a', 'b', 'c', 'a', 'd', 'b', 'b', 'a')",58,24,60159
20,spec_2.dot,3.98,"('d', 'c', 'b', 'b', 'e', 'a', 'a', 'a')",28,12,13870
15,spec_5.dot,15.4,NAN,16,10,40029
15,spec_4.dot,28.3,"('c', 'c', 'b', 'b', 'a', 'b', 'c', 'b', 'e', 'b')",43,22,64549
15,spec_1.dot,45.3,"('d', 'c', 'a', 'e', 'e', 'b', 'a', 'e', 'b', 'd', 'c', 'b', 'c', 'c', 'b')",48,30,80293
15,spec_3.dot,6.12,"('b', 'b', 'd', 'a', 'b', 'a', 'c', 'b', 'c', 'd', 'c', 'b', 'd', 'e', 'd', 'd', 'e')",39,20,24951
15,spec_2.dot,11.4,"('d', 'b', 'b', 'a', 'b', 'e', 'c', 'e', 'a', 'd', 'a')",23,14,16315
