name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_second_4.dot,2.31e+02,"('c', 'b', 'd', 'a', 'e', 'c', 'a', 'e', 'e', 'b', 'e', 'd', 'd', 'a', 'b', 'e', 'c', 'b', 'a', 'e', 'e', 'c', 'b', 'e', 'e', 'e', 'c', 'e', 'c', 'c', 'c', 'c', 'd', 'e', 'c', 'c', 'c', 'c', 'b', 'b', 'e', 'a', 'e', 'd', 'b', 'b', 'b', 'b', 'e', 'a', 'c', 'd', 'd', 'e', 'c', 'd', 'd', 'd', 'a', 'b', 'c', 'c', 'd', 'a', 'd', 'b', 'b', 'b', 'c', 'e', 'a', 'e', 'e', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'c', 'e', 'b')",755800
13,spec_second_2.dot,6e+02,NAN,1983000
13,spec_second_1.dot,1.86e+02,"('a', 'd', 'd', 'c', 'd', 'a', 'a', 'c', 'a', 'c', 'd')",598000
13,spec_second_5.dot,3.27,"('e', 'a', 'c', 'a', 'd', 'a', 'e', 'a', 'b', 'b', 'd', 'd', 'c', 'c', 'b', 'e', 'c', 'b', 'd', 'c', 'b', 'e', 'e', 'e', 'c', 'c', 'b', 'd', 'e', 'e', 'e', 'a', 'a', 'c', 'd', 'd', 'e', 'a', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 'c', 'b', 'c', 'a', 'c', 'c', 'b')",10200
13,spec_second_3.dot,4.97e+02,"('a', 'd', 'd', 'c', 'd', 'a', 'a', 'c', 'a', 'c', 'c', 'a', 'd', 'a', 'b', 'd', 'b', 'c', 'b', 'd', 'e', 'a', 'b', 'd')",1606400
22,spec_second_2.dot,6.66,"('c', 'b', 'a', 'c', 'e', 'a', 'e', 'e', 'e', 'd', 'd', 'd', 'b', 'a', 'b', 'c', 'd', 'e', 'e', 'c')",19000
22,spec_second_1.dot,1.06,"('b', 'c', 'e', 'e', 'd', 'a', 'b', 'e', 'a', 'd', 'c', 'c')",3000
22,spec_second_3.dot,20.1,"('e', 'e', 'd', 'd', 'e', 'd', 'e', 'b', 'c', 'd', 'b', 'b', 'b', 'b', 'e', 'd', 'e', 'e', 'b', 'c', 'c', 'd', 'c', 'e', 'e', 'd', 'b', 'd', 'a', 'b', 'b', 'a', 'd', 'e', 'e', 'e', 'c', 'a', 'e', 'e', 'd', 'b', 'c', 'e', 'e', 'a', 'a', 'd', 'd', 'a', 'e', 'b', 'a', 'e', 'e', 'a', 'b', 'e', 'c', 'c', 'b', 'd', 'b', 'b', 'd', 'a', 'd', 'e', 'd', 'e', 'e', 'c', 'b', 'b', 'e', 'd', 'a', 'e', 'e', 'a', 'c', 'b', 'c', 'c', 'c', 'c', 'c', 'a', 'd', 'a', 'c', 'c', 'b', 'c', 'd', 'b', 'c', 'e', 'c', 'b', 'd', 'c', 'a', 'e', 'b', 'e', 'd', 'e', 'c', 'b', 'e', 'c', 'd', 'a', 'c', 'c', 'a', 'd', 'c', 'e', 'd', 'd', 'd', 'd', 'b', 'e', 'e', 'a', 'a', 'b', 'e', 'a', 'a', 'a', 'e', 'c', 'a', 'a', 'd', 'b')",57400
7,spec_second_4.dot,6.95,"('d', 'd', 'e', 'c', 'd', 'a', 'd', 'd', 'a', 'c', 'a', 'a', 'b', 'c', 'd', 'b', 'e', 'd', 'c', 'a', 'b', 'b', 'a', 'a', 'a', 'c', 'b', 'a', 'd', 'a', 'b', 'a', 'e', 'e', 'e', 'b', 'e', 'b', 'c', 'b', 'e', 'c', 'c', 'c', 'c', 'a', 'c', 'e', 'e', 'e', 'a', 'd', 'd', 'b', 'a', 'a', 'a', 'b', 'c', 'e', 'b', 'b', 'd', 'c', 'b', 'd', 'c', 'd', 'c', 'd', 'e', 'c', 'b', 'a', 'e', 'b', 'd', 'c', 'd', 'a', 'b', 'd', 'c', 'a', 'c', 'b', 'a', 'e', 'e', 'b', 'a', 'e', 'b', 'a', 'a', 'd', 'c', 'a', 'b', 'c', 'c', 'e', 'c', 'b', 'c', 'c', 'b', 'd', 'e', 'b', 'e', 'd', 'd', 'b', 'c', 'd', 'b', 'c', 'a', 'e', 'c', 'e', 'd', 'a', 'a', 'b', 'b', 'e', 'b', 'c', 'c', 'c', 'e', 'b', 'a', 'c', 'a', 'c', 'c', 'd', 'b', 'a', 'c', 'd', 'b', 'd', 'b', 'a', 'b', 'd', 'a', 'd', 'c', 'd', 'd', 'c', 'd', 'b', 'c', 'c', 'a', 'b', 'c', 'd', 'd', 'd', 'c', 'e', 'e', 'c', 'b', 'b', 'a', 'c', 'c', 'c', 'c', 'c', 'e', 'e', 'c', 'c', 'b', 'a', 'a', 'd', 'd', 'b', 'c', 'c', 'e', 'c', 'c', 'e', 'b', 'a', 'c', 'a', 'c', 'e', 'b', 'b', 'e', 'c', 'e', 'a', 'd', 'a', 'b', 'e', 'd', 'c', 'c', 'd', 'c', 'b', 'a', 'b', 'e', 'c', 'a', 'e', 'c', 'c', 'c', 'e', 'd', 'a', 'd', 'c', 'a', 'c', 'e', 'd', 'd', 'd', 'd', 'b', 'c', 'a', 'e', 'd', 'e', 'd', 'a', 'e', 'a', 'c', 'c', 'a', 'e', 'd', 'c', 'b', 'a', 'a', 'b', 'c', 'c', 'd', 'c', 'b', 'b', 'a', 'e', 'b', 'c', 'e', 'c', 'b', 'c', 'c', 'c', 'b', 'a', 'c', 'd', 'c', 'e', 'a', 'a', 'a', 'e', 'a', 'a', 'c', 'a', 'b', 'e', 'e', 'd', 'a', 'e', 'b', 'd', 'c', 'd', 'c', 'b', 'c', 'b', 'a', 'c', 'd', 'b', 'c', 'c', 'c', 'e', 'a', 'd', 'd', 'd', 'c', 'a', 'd', 'e', 'b', 'b', 'c', 'b', 'b', 'b', 'a', 'e', 'b', 'e', 'c', 'c', 'e', 'b', 'c', 'a', 'd', 'd', 'a', 'b', 'b', 'e', 'b', 'c', 'c', 'a', 'a', 'c', 'e', 'a', 'c', 'a', 'b', 'a', 'e', 'a', 'e', 'd', 'a', 'b', 'b', 'a')",15600
7,spec_second_2.dot,1.42,"('e', 'a', 'e', 'a', 'd', 'c', 'e', 'e', 'd', 'c', 'b', 'b', 'd', 'b', 'a', 'c', 'c', 'd', 'd', 'c', 'd', 'b', 'c', 'c', 'c', 'c', 'e', 'd', 'e', 'c', 'e', 'c', 'b', 'd', 'd', 'c', 'b', 'b', 'c', 'a', 'a', 'c', 'e', 'b', 'e', 'e', 'e', 'c', 'b', 'a', 'e', 'e', 'e', 'c', 'b', 'a', 'c', 'c', 'b', 'c', 'e', 'c', 'e', 'd', 'e', 'c', 'c', 'c', 'e', 'c', 'b', 'a', 'e', 'e', 'c')",3200
