name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_second_4.dot,10.9,NAN,8,1,36797,35.4,NAN,120000
13,spec_second_2.dot,10.8,NAN,8,1,35632,35.4,NAN,120000
13,spec_second_1.dot,10.6,NAN,8,1,35613,35.3,NAN,120000
13,spec_second_5.dot,10.7,NAN,8,1,36814,8.03,"('e', 'c', 'e', 'e', 'a', 'a', 'd', 'd', 'c', 'c', 'e', 'c', 'c', 'c', 'd', 'b', 'e', 'a', 'a', 'b', 'c', 'd', 'a', 'd', 'e', 'a', 'b', 'd', 'd', 'a', 'd', 'e', 'd', 'c', 'd', 'e', 'b', 'c', 'a', 'c', 'a', 'a', 'b', 'a', 'b', 'a', 'e', 'a', 'a', 'c', 'b', 'd', 'b', 'c', 'b', 'd', 'c', 'c', 'c', 'd', 'e', 'e', 'b', 'b', 'c', 'c', 'b', 'e', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c', 'a', 'a', 'e', 'e', 'a', 'a', 'c', 'c', 'd', 'a', 'c', 'a', 'c', 'e', 'c', 'd', 'd', 'a', 'd', 'c', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'd', 'e', 'b', 'd', 'a', 'd')",27200
13,spec_second_3.dot,8.88,NAN,8,1,30104,3.45,"('a', 'e', 'a', 'd', 'e', 'a', 'd', 'a', 'a', 'd', 'c', 'e', 'c', 'd', 'a', 'a', 'c', 'a', 'b', 'c', 'e', 'c', 'b', 'c', 'a', 'e', 'c', 'c', 'e', 'a', 'd', 'd', 'a', 'b', 'a', 'a', 'a', 'e', 'd', 'b', 'e', 'a', 'd', 'e', 'a', 'e', 'c', 'a', 'b', 'd', 'c', 'e', 'c', 'a', 'e', 'a', 'e', 'b', 'e', 'c', 'd', 'e', 'd', 'e', 'a', 'd', 'c', 'a', 'c', 'd', 'b', 'e', 'e', 'b', 'd', 'e', 'b', 'b', 'e', 'a', 'a', 'e', 'd', 'a', 'a', 'a', 'b', 'a', 'e', 'a', 'd', 'd', 'a', 'a', 'e', 'a', 'b', 'd', 'a', 'c', 'd', 'a', 'd', 'e', 'c', 'b', 'a', 'b', 'c', 'a', 'e', 'd', 'c', 'e', 'e', 'd', 'd', 'e', 'a', 'a', 'e', 'c', 'b', 'b', 'c', 'd', 'a', 'a', 'b', 'a', 'e', 'b', 'b', 'a', 'c', 'b', 'd', 'e', 'd', 'b', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 'b', 'd')",11600
22,spec_second_2.dot,6.16,"('e', 'e', 'd', 'c', 'e', 'd', 'e', 'd')",16,11,11576,8.84,"('e', 'd', 'e', 'e', 'a', 'b', 'b', 'b', 'c', 'c', 'c', 'd', 'a', 'a', 'b', 'a', 'c', 'b', 'c', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'e', 'b', 'e', 'c', 'e', 'd', 'd', 'a', 'e', 'd', 'b', 'e', 'c')",26000
22,spec_second_1.dot,22.9,"('e', 'e', 'd', 'c', 'e', 'd', 'b', 'a', 'a')",24,17,28196,2.51,"('e', 'e', 'e', 'c', 'c', 'c', 'b', 'd', 'b', 'd', 'b', 'b', 'd', 'b')",7600
22,spec_second_3.dot,1.95,"('b', 'c', 'e', 'e', 'd', 'e')",14,10,6730,16.7,"('e', 'e', 'e', 'c', 'd', 'e', 'a')",49200
7,spec_second_4.dot,39.3,"('e', 'e', 'e', 'd', 'd', 'a', 'e', 'c', 'b', 'd', 'd', 'e')",39,17,40206,1.89,"('b', 'c', 'a', 'd', 'a', 'e', 'b', 'a', 'a', 'd', 'd', 'e', 'b', 'e', 'd', 'e', 'c', 'c')",4600
7,spec_second_2.dot,8.3,"('e', 'd', 'e', 'b', 'e', 'e', 'c', 'd', 'e', 'a', 'e')",32,7,25991,5.31,"('c', 'd', 'b', 'e', 'b', 'e', 'a', 'a', 'e', 'c', 'c', 'a', 'b', 'c', 'a', 'd', 'a', 'e', 'e', 'c', 'd', 'd', 'e', 'e', 'b', 'b', 'e', 'e', 'c', 'd', 'e', 'd', 'b', 'c', 'b', 'd', 'c', 'd', 'a', 'c', 'e', 'b', 'c', 'c', 'b', 'e', 'a', 'a', 'd', 'e', 'a', 'e', 'c')",12200
