name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
19,spec_4.dot,14.4,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_1.dot,16.8,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_3.dot,14.5,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
19,spec_2.dot,17.4,"('a', 'e', 'b', 'b', 'd', 'b', 'e')",26,11,7628
29,spec_5.dot,53.2,"('a', 'c', 'a', 'a', 'c', 'c', 'e', 'b', 'b', 'e')",25,7,15482
29,spec_4.dot,40.4,"('a', 'b', 'a', 'b', 'c', 'a', 'c', 'b', 'a', 'b')",25,8,15440
29,spec_1.dot,71.2,"('c', 'c', 'a', 'c', 'b', 'e', 'e', 'c', 'a', 'c', 'd', 'd', 'a', 'c', 'a', 'e')",32,7,22598
29,spec_3.dot,34.3,"('b', 'c', 'b', 'd', 'a', 'c', 'd', 'd', 'd', 'd', 'c', 'e')",30,6,13707
29,spec_2.dot,2.16e+02,"('a', 'b', 'e', 'd', 'a', 'b', 'a', 'd', 'e', 'c', 'e', 'c', 'b', 'c', 'd', 'c', 'c', 'c')",35,8,28461
6,spec_5.dot,2.83e+02,"('a', 'b', 'b', 'c', 'b', 'e', 'c', 'a', 'a', 'c', 'a')",58,1,77781
6,spec_4.dot,23.4,"('b', 'a', 'b', 'e', 'e', 'a', 'c', 'a')",17,1,7668
6,spec_1.dot,1.7e+02,"('b', 'a', 'b', 'e', 'e', 'a', 'c', 'a')",46,5,45671
6,spec_3.dot,1.18e+02,"('e', 'a', 'e', 'a', 'd', 'c', 'a')",27,1,22553
6,spec_2.dot,51.4,"('c', 'c', 'b', 'e', 'c', 'a', 'a', 'c', 'a')",23,1,25917
16,spec_4.dot,32.0,"('c', 'b', 'd', 'a', 'e', 'b', 'b', 'd')",27,16,16055
16,spec_1.dot,2.5e+02,"('b', 'c', 'd', 'b', 'a', 'e', 'b', 'e', 'b', 'd', 'a')",52,24,54074
16,spec_3.dot,1.45e+02,"('b', 'c', 'd', 'b', 'a', 'e', 'b', 'e', 'a', 'a', 'b')",52,27,57588
16,spec_2.dot,1.75e+02,"('a', 'e', 'a', 'e', 'c', 'b', 'd', 'e', 'b', 'c', 'b', 'a')",52,32,56271
20,spec_5.dot,30.5,"('b', 'e', 'd', 'b', 'd', 'c', 'c', 'a', 'a', 'e')",22,8,9580
20,spec_4.dot,81.1,"('d', 'c', 'd', 'd', 'a', 'd', 'a', 'a', 'd', 'a', 'b', 'c')",28,11,15829
20,spec_1.dot,1.12e+02,"('b', 'c', 'e', 'b', 'b', 'a', 'a', 'e', 'c', 'e', 'b', 'b')",26,10,16171
20,spec_3.dot,27.3,"('a', 'a', 'c', 'c', 'e', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'e', 'a', 'b', 'c')",29,11,20373
20,spec_2.dot,26.1,"('d', 'a', 'a', 'c', 'c', 'a', 'b', 'a', 'e', 'c', 'a', 'b', 'a')",27,9,12302
15,spec_5.dot,35.4,"('b', 'b', 'd', 'c', 'd', 'c', 'd', 'c', 'b', 'd', 'e', 'd', 'd', 'e', 'a', 'c')",32,17,25168
15,spec_4.dot,46.3,NAN,16,10,40029
15,spec_1.dot,20.5,"('b', 'e', 'c', 'c', 'b', 'e', 'e', 'd', 'b', 'e')",22,16,15791
15,spec_3.dot,22.1,"('d', 'b', 'b', 'a', 'b', 'c', 'b', 'e', 'b')",21,14,19161
15,spec_2.dot,51.2,"('d', 'b', 'b', 'a', 'b', 'e', 'c', 'b', 'd', 'c', 'e')",23,15,30972
