name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,1,8,7,13.0,NAN,8,1,35578,7.67,NAN,8,1,19154,42.9,NAN,120000
13,2,8,6,12.2,NAN,8,1,32831,8.11,NAN,8,1,20682,44.3,NAN,120000
13,3,8,3,11.2,NAN,8,1,30194,9.25,NAN,8,1,23708,44.2,NAN,120000
13,4,8,2,13.6,NAN,8,1,36797,9.09,NAN,8,1,23631,42.4,NAN,120000
13,5,8,3,11.8,NAN,8,1,35824,6.93,NAN,8,1,19387,39.8,NAN,120000
22,1,11,9,9.39,"('e', 'e', 'e', 'c', 'b', 'c', 'e', 'a', 'b', 'b')",16,13,9825,6.14e+02,"('b', 'c', 'e', 'e', 'b')",483,378,6208744,0.474,caaaadcbecaececaaabeacbaaeaacbecccedcabadbbdbdcccccbbaeadddddbebcebdeceaedabadbdccbcdbcabbaddadaecceedeccdacadcdbbbadbacdedcedbebdee,532
22,2,11,10,7.74,"('e', 'e', 'd', 'c', 'e', 'd', 'e', 'd')",18,13,14591,49.3,"('e', 'e', 'e', 'c', 'a', 'd')",51,39,132286,0.931,eeecccbec,2209
22,3,11,10,6.02,"('e', 'e', 'e', 'c', 'b', 'd', 'a')",15,11,15490,6.03e+02,"('b', 'c', 'e', 'e', 'd', 'e')",405,307,4930584,2.58,ccbbebabceedcdeadbaeedccee,6226
7,1,19,12,2e+03,NAN,214,51,1204930,6.03e+02,NAN,445,105,5082784,17.2,bbceadbaeadcdacadabddcebbebbaccaaedaeabbbadcdaaedccbbbeecedcebbebdebaedddcbeaacdebecbedceacaaacccecdbcdcedcbccdabceeedbbadeadedacdbccccecbadcabeecaabbecdaebcedbbecaabcaebbedddadabadcedbedaacebaeeaddbbbbcbcbbceaddcccecadeebbdabdabedbcadddbeeecdadcddec,31450
7,2,19,11,35.0,"('d', 'e', 'b', 'c', 'a', 'a', 'c', 'a', 'b')",38,11,43773,6.05e+02,"('c', 'b', 'e', 'b', 'd', 'e', 'e')",437,101,4994542,4.72,ebeeaccacaaeeccabcbedcbcbebcaacecbbc,9236
7,3,19,8,47.0,"('c', 'd', 'e', 'd', 'd', 'c', 'a')",65,15,78861,6.01e+02,NAN,429,108,4884041,12.0,bedccabeecbeddbdbae,26019
7,4,19,12,94.9,"('b', 'b', 'e', 'b', 'c', 'c', 'a', 'b', 'c', 'c')",39,10,34206,6.04e+02,"('b', 'c', 'a', 'a', 'c', 'e')",460,105,5354604,11.0,caedeceacdeeeeddaadeaecacbcaeacbabbedbedccccdaaebdbbbcedcdbaccdaabadcedbaebbcdeccbdabcbaecbcbaadcbededceccabadaddebdbeeeeaacebccbaeedcbdbcbeebeeabbcabeebededbaaccaeededdecebbddeedbbcdadcecceeaaebacccccaebecececbbaacaceddeddbbbbacbccccdac,19437
7,5,19,8,49.8,"('d', 'e', 'b', 'c', 'a', 'a', 'c', 'e')",40,10,44507,6.1e+02,NAN,423,116,4449577,3.62,ddedbbaddeaceddbdedacaddcecdcaacdedcbcbccaaacbac,7048
28,1,21,19,11.2,"('b', 'd', 'd', 'e', 'c', 'c', 'c', 'e', 'a', 'a')",26,22,17357,6.2e+02,NAN,470,384,5686858,0.922,cabcbbbcbaebaeeeaabebbeabadacaabeadeaebaacadbcddccdbbaebcebecbdeedcbcdaddacaaadaeaeedbeacebceeeebeeeaeabdaaadacc,712
28,2,21,20,9.7,"('b', 'b', 'e', 'b', 'a', 'a', 'e', 'a', 'b', 'd', 'c', 'a', 'b')",32,26,17627,6.02e+02,NAN,405,333,4030708,6.38,aceedbddedeceecbd,10817
28,3,21,19,13.6,"('a', 'd', 'a', 'd', 'e', 'd', 'd', 'd', 'd', 'd', 'd', 'a', 'd', 'a')",29,25,14136,6.45e+02,NAN,438,360,4833120,0.192,daedacdbbbdecacacccceeeebeecadeb,232
