name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
24,spec_1.dot,20.7,ebbebdeacaaeabcbbbcceeecedaaedbddcabddebecadeeeededcbadbeceacbeccaeedccebacebbaaaabaabdabdedaeabeeabaeecdabcbaadbcacbcbdeeeaaedbaaabddebcaddcddbadddcddcbebeedeabcdaabecbbdabddceaedebcdecedbdbacbdbdeecdcddadbdbccbcdbacbbcedeecdabbcebecdeeaebedcbddbddeaecaaaaabdedbebebecbcecdaabbbacaebbbedeaecbdecabaddcbcaaaeacaaaeabcadebcadeecceebdbebbebbbeecdcdddecdcdaddecdedadbcadceacabdeebebbcedbcebabeaeabbbeccebabeeedaccbaceaadabadcbeaeaadddcdcceddcdcabcabbddbdbaddeeaecebaadcdcbcdeb,27873
24,spec_3.dot,10.2,cbdecbbcdcadbccecbabecebbdacdbabdcdbcbbbdaaedebcabecebbbadcdacdacedadbecbcceedbaccbeddecdcaacabeeadabcacacbdcadecbdaddbabcecceaecdebeedaeacbdcadceaacbbbdddbabeeeccaaeecdddbddbceaad,17180
24,spec_2.dot,23.8,abaeeaedebcededdcceceedcbcacedabcebccdbcdaecdaccaaebeeaaecdcbccbbdaecddccbcdadaaeaccedaacddbbdadccacebbcbedaaddacabbaaaaeecceddacdeaededaccbadbebbecddcbbcbbaaceecaeaaedccacbcdbaecdadabceecddbeaacdadadcbeaadbeedeaecdcadedeeddcbaeebccbeadcababcedaecaccdecbbdcdbaddabacbadcccccaddabbdbcbddcdc,40489
27,spec_5.dot,11.0,caaedecadaacdcbeabddbcdbbacdecdbdaebbebcdcabbadecaabbdbbedcbeeebbaadaddccbeabaaedcadaebbeedbcabeeabecbbbdabbbaccccaabaeeddecdbdebcbcbaaddedeaeeacbaacaeadebabdbacbcbbacdcacbdabcadabdbddecaacbdaceebcebedaabadabcaaacccdcddadbadccdacedabbdaccddeacdcceedccbcdceedcdcedcaecbdeddeeadbcaddecadeedccbeecabaebcddddeedeadbdb,26713
27,spec_4.dot,3.78,baedceebddcecebdabddbadebcabdcaddedbcdbeaedbcbcdeccebecdddebaaddadcaaaacbcabbaabceadbcadebeeceeedecbbbeddebbbeaecbebabbabbceeaace,9729
27,spec_1.dot,0.293,ebdcaeaadbdcbddeec,818
27,spec_3.dot,0.983,eecbcaeebedbaebaabeacbcebdabeeeeeddcebddabebacab,2648
27,spec_2.dot,6.04,cdadaabacbbbdcdcdcbeeacbddeabbdeaacdebecaecebbbacbbbdadaeabeebbcebeacbaebacdcaaeaaacbcbadcdecdcbdeccdcedddebeaeeeabeeeabdeebeedecdceddbabdbbdeaeddbccdccdbcdccbebaeadecaddadbabbbddcdaaaebdbddadbabbeaecdcbcceeadebebcdedcacdeebabdebabaacdcdbcbecacebebaabacccaabeddabaececddeaaccddadeaadbceacddcddbcdeacaeddabcdbaaddcdddbcaccabdbcceaadbbabaddbcacbebabebdecaadcdbdeececcbbcbaacbbddbbbbdabaebdddeceaabdbccddabdeeacabdabdeabaddeeedcecdddbecbbbeeaceaaacceaabacbadaebabccdabebbcecdbdbaccaeacedeebcaaaedaaeddbadbedebacabbcaccacaddaebaceebdbbbaedcacbaddaaedadbeaccdeadcbbcceaadcbaeaaceeacdbeeccdebccdeeacceaedddeaabbadedbeaeacadacbbbbbceabcaeaacaaaeedacbeddadceecaeeeeedddeeea,4265
21,spec_5.dot,15.3,ebacebddacdedeceaedabddcaebeccaacebcecbcbeaabaddecebaecdcabcaccabebcbeabaaddeccedbeeceaebebcebeabbecabeabdeadecbebaeeddcdeccbeeedabcaacdadbbabcdacdaecaeaedceeadaecedaedbbaadbbcccdcacecdadcbabcadeaaeebdacdcecb,26608
21,spec_4.dot,12.4,aaaebebcaeccbbdecaabcdebabaeecadeababaabbbbccdbadebbeecacebceebdeeabdcbacaaabeeedbebedddbbaabdabbddeabcdaaaccedaecbbbbadddeeab,22126
21,spec_1.dot,16.9,eabdabecdbccaaecbbdbda,31222
21,spec_3.dot,21.4,bdebcbdcbbdabcaccccccacadacdcdedebbcdeaacbbcbcbdbcedacacdebebacccbbcabcccdcabddeabacecbddcbdeaccaebadeebbeaaddcdbdbcdebacbcbcbeebaaabbdddbcebecdeabddaebcccadbcadcadbecbbdaaeebeddccceedbdedbbaaaeacadeaedebcabccaecddcaeccbdeebaecdcdeacccbcceeaaeaccceeaeababdedcbcceeeabacebcdedeaeeecccbceacbaabdaadcdaedadedceedaceeaeeeeecbaabeebedbbdedbbaecbedecbadddbaaebcebbadccaddadebeecaaaacbddeeaecdbeaedbedcdccebbddbabeebdadddbddcaaecdcaeecbdbcddeeedbcbddddabaadbbbcdccabbeacdaeabdccbb,28073
21,spec_2.dot,18.7,ddecdeedbececbbdcbcccdebdbacedcbdacbdbedbedcaeadedcdddedadebbeaccbcdedeeddcaaceaeadbcbdbdabdddeebdaeecbeaaebd,34109
19,spec_5.dot,0.116,ccabcccddeeddb,214
19,spec_4.dot,4.0,baedaadbdeccaccbdecbbceabadacbebbabaabeddededbeaeeddcecebeabbcecdcdcbacaaaccbcdecdcdebdcbbaeaeedaabbdeceddddbddbcccdbbdedaebcedaabdcabdecddccdeceeadcdcbddccdbebcbabadbbecbbeaaceeccdbbabaeecdbeeeacaecaedbcdcddacaebabaebcacaeebdecdcacabaabadbeadadaaaacbbacdabddcdedeabbddbdcebbbecdecdeeccaacccdacdcbecaacbeecebcdcdaedaedbbecedbcbebdbadbabedacabbeaebcbdbecacec,557
19,spec_1.dot,0.116,cdeeadbaeccdaadbb,217
19,spec_3.dot,0.589,ceeebcbadaaaaeabecbcaaaddbceeccabaeacaddecdacadcdbccdeeedcadddbabadadbabaeaabcaccdaabbeaeebccecdddcecacdaebbcdcbbcdaeccdbd,322
19,spec_2.dot,0.736,cdabcebedbaabeaabecaadcbdbccbdcdbccebbdbaacaeaeabebbccaedaaaededbecdcacaeadddcadbcdddaecddabbaccbdeaaedbbaaaecddeccdcaebbeabeedeeeeabeacd,337
29,spec_5.dot,2.63,dcdebabaadbdcacabcacdddbedbeaeeeacecaabbccbbeecabcacdbaacbbecdaaddcccedaaeedadbebdeadcceabbcabcacbbbbdbccabecb,4310
29,spec_4.dot,2.16,dccedaedacdbedbeebeaaeaabccacebcbdeccccebedeaaccaaeaabdedecddcaeaceceebcaebaeadebbeceebbbaaeaebacaabbacaeeade,3309
29,spec_1.dot,13.7,cceeccedbacacbc,26015
29,spec_3.dot,4.2,eabbcbaadcddebceadadeabeccdebadcccecdbcccebeadabecedbabeebcebdecdcbbdedaba,7474
29,spec_2.dot,0.251,daedacdacecadcedeadebcdacaeaaaaeecbbaccebdbcbcbaceb,251
6,spec_5.dot,5.06,cdacbccbbeebccdababddcedaeecccededaedccdaaeddcbdbcccadbbdbadaedccccebeeeeada,13876
6,spec_4.dot,1.36,dacabeaceada,3812
6,spec_1.dot,0.751,abbddabaaedaadbdccbbdaaebcbdddaadeddbddbdaccbaaecadbadeeceaccaedadccdabbaedbeadbaceacdcedccdceaecabcbbdbbcaaecbabdebacbcddebeadeacaddbaeeaabecddbeccbcbceacddcbbdddececacdabbddeeaadbaeacaeacddbabeaecaa,800
6,spec_3.dot,1.65,eddedaaaaedbcabacbedacdadbcbbbededceaedaecceeeeaaceeebdeaadcbbeaababaadabaadccdceeaacbbebddccbabdebbdeeaeceddcbdabadeeadbacaadbbadeadbdaadebdedaeebcbdaddcbdebbdddedbeaeecaddcebebeaedbddeddacdecdeedacbeddeabcbaccadddbdaecbbeeeabeaacbbdcdccbe,2640
6,spec_2.dot,17.8,eccdedeaecaadebceadbedeeccdcdbbcccddcacdbadccddebdcbebecdeddceebebbccedbbdaebaebeababdaeeaeececacaccccdebbbbeccdacabcccacbcacbeebeddecdeeaedcbbbaabcddacbbedaddececaabbabcceaebdcedbeedccaebbbaeadaeeaaaceecaebdcdbdecdacbaebbccbaabeddedeebdeedbdacaaabeaeadeedddbdadadeceededaeeabbaaaedabadbdbebaecaadabdebedcadebaccccdeebdecbaaeddadcaebdeaadbaaeedeceaeeecabbecbeecceebaebaceadcdeddcddcdcebdddcbedbedddeebebedbacceaaeeaaabecadcedbaaca,42030
16,spec_4.dot,3.88,cedadbdaebbe,7212
16,spec_1.dot,60.5,dccdeddeeaccbbedcdcabbceeaabbededbeededbbeddbcbdeeadbddebbddcbcbeeecaaeeaaeecddebacdaadbcdbabcddceddadedadbaebdaed,110114
16,spec_3.dot,8.33,ccacddaceebaddebabbbeccaebacbbecccbdbceaecbdaebccdbc,15452
16,spec_2.dot,2.64,cbdaebbd,5008
20,spec_5.dot,2.1,cddecaaebbaadcbdc,5417
20,spec_4.dot,2.43,ddbadcdacdb,6411
20,spec_1.dot,7.71,cbedadcdccec,20412
20,spec_3.dot,9.01,dccaadbdcbc,24211
20,spec_2.dot,6.16,ddbaadbae,16609
15,spec_5.dot,0.746,dbddbdeaadeaabbcaaeccdbdbaaedbdbb,2033
15,spec_4.dot,4.46,ccccdeeadcaaddeedcccdeeaccbceddeabcbaebbcdaebcdaeaeacbbedadeeebdaecccebbacdeddbaddcdebcbdaecbcbcbecebadaeabbbabcbebdbe,11318
15,spec_1.dot,23.5,bebdccdccbddcbdbbbbcbccddadccadbeddbcebeebbddeaaaebaadcacccaeceeeecaddbeccdcdceaacabaaeeabcaeebaccccbbadcccddbadccecddcccceaacdeadadaceecbcceeacbaebbaebeeabebaccdcdeccacdcbdacedacdbbeabddccdcecaacdbcedaddadebdbdedcedabbbdcbcadaeeddebeedbeebebaaed,61846
15,spec_3.dot,21.6,bebdeceecbccddbcabddbcabaccdbabcbddcecedacabcdccdacdaeaadeecdedeacebbedeecdaabbecdeddaacaecadaebeddeebdecccdaddedaaeecbabebdaedcebabecabbcebbbacdcdbbddbdadeedbbbddbbdebaaeabaecbcaeeebcedcca,58389
15,spec_2.dot,45.6,NAN,120000
