name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
12,spec_5.dot,3.54,"('e', 'd', 'c', 'c', 'a', 'b', 'd', 'c', 'd', 'b', 'b', 'a', 'a', 'b', 'c', 'b', 'c', 'b', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'd')",15,5,10399
12,spec_4.dot,1.75,"('d', 'c', 'b', 'd', 'b', 'e', 'a', 'b', 'e', 'a', 'a', 'b', 'e', 'd', 'd', 'a', 'a', 'e', 'e', 'd', 'c', 'd', 'd', 'e', 'a', 'c', 'a', 'c', 'a', 'a', 'e', 'b', 'c', 'c', 'b', 'd', 'c', 'b', 'a', 'a', 'e', 'e', 'b', 'a', 'b', 'd', 'b', 'e', 'c', 'd', 'c', 'e', 'c', 'd', 'd', 'd', 'e', 'c', 'c', 'e', 'c', 'd', 'b', 'e', 'c', 'e', 'a', 'b', 'a', 'e', 'b', 'a', 'b', 'e', 'd', 'd', 'b', 'c', 'e', 'b', 'e', 'b', 'a', 'c', 'd', 'd', 'e', 'b', 'e', 'a', 'b', 'b', 'c', 'd', 'b', 'c', 'c', 'c', 'd', 'a')",15,5,6022
12,spec_1.dot,12.5,"('c', 'e', 'a', 'e', 'a', 'b', 'e', 'c', 'e', 'a', 'e', 'd', 'b', 'e', 'd', 'b', 'b', 'a', 'a', 'a', 'a', 'e', 'd', 'e', 'd', 'c', 'a', 'd', 'd', 'b', 'e', 'b', 'a', 'a', 'b', 'a', 'e', 'a', 'a', 'd', 'c', 'd', 'a')",15,5,36199
12,spec_3.dot,43.8,NAN,15,5,122222
12,spec_2.dot,4.54,"('a', 'c', 'b', 'c', 'a', 'b', 'd', 'b', 'd', 'b', 'd', 'e', 'c', 'd', 'a', 'a', 'b', 'b', 'e', 'd', 'b', 'c', 'b', 'c', 'b', 'a', 'c', 'c', 'e', 'd', 'a', 'e', 'b', 'a', 'd', 'd', 'e', 'd', 'b', 'b', 'a', 'a', 'e', 'b', 'd', 'd', 'd', 'd', 'e', 'a', 'b', 'd', 'e', 'b', 'd', 'a')",15,5,13599
30,spec_5.dot,1.83,"('e', 'a', 'e', 'd', 'e', 'e', 'c', 'b', 'e', 'a', 'c', 'a', 'a', 'e', 'b', 'a', 'd', 'e', 'a', 'e', 'a', 'b', 'c', 'a', 'a', 'd', 'd', 'e', 'b', 'd', 'a', 'a', 'b', 'a', 'b', 'e', 'e', 'c', 'e', 'e', 'e', 'c', 'b', 'd', 'c', 'e', 'd', 'd', 'c', 'c', 'e', 'c', 'd', 'a', 'c', 'c', 'd', 'b', 'c', 'd', 'a', 'c', 'e', 'a', 'a', 'b', 'e', 'b', 'b', 'e', 'e', 'd', 'a', 'd', 'e', 'c', 'a', 'e', 'a', 'd', 'e', 'b', 'd', 'a', 'c', 'd', 'a', 'b', 'e', 'b', 'a', 'a', 'e', 'c', 'b', 'd', 'd', 'b', 'c', 'e', 'e', 'd', 'e', 'd', 'c', 'c', 'c', 'c', 'e', 'b', 'b', 'a', 'b', 'e', 'e', 'd', 'd', 'a', 'a', 'c', 'b', 'e', 'c', 'd', 'a', 'e', 'b', 'a', 'a', 'c', 'd', 'a', 'a', 'e', 'c', 'b', 'c', 'e', 'c', 'b', 'b', 'c', 'd', 'd', 'c', 'c', 'e', 'c', 'c', 'd', 'c', 'e', 'b', 'c', 'c', 'a', 'a', 'e', 'e', 'c', 'd', 'e', 'e', 'a', 'c', 'b', 'c', 'b', 'b', 'e', 'a', 'c', 'd', 'c', 'e', 'c', 'e', 'd', 'c', 'd', 'c', 'a', 'c', 'd', 'd', 'a', 'a', 'b', 'e', 'c', 'a', 'd', 'a', 'd', 'b', 'c', 'd', 'a', 'a', 'b', 'b', 'c', 'c', 'e', 'd', 'a', 'b', 'a', 'b', 'd', 'd', 'b', 'e', 'd', 'c', 'd', 'c', 'e', 'd', 'c', 'c', 'c', 'd', 'b', 'a', 'a', 'e', 'c', 'e', 'd', 'a', 'd', 'b', 'c', 'b', 'e', 'b', 'b')",24,6,7455
30,spec_4.dot,3.1,"('d', 'e', 'e', 'e', 'a', 'a', 'b', 'e', 'c', 'd', 'c', 'a', 'c', 'd', 'c', 'a', 'a', 'a', 'b', 'e', 'd', 'e', 'c', 'b', 'e', 'b', 'd', 'c', 'd', 'b', 'c', 'e', 'd', 'c', 'c', 'b', 'a', 'd', 'd', 'd', 'a', 'c', 'e', 'e', 'c', 'e', 'c', 'd', 'b', 'd', 'a', 'd', 'a', 'e', 'a', 'a', 'e', 'e', 'd', 'd', 'e', 'd', 'a', 'd', 'a', 'b', 'e', 'c', 'b', 'd', 'e', 'e', 'c', 'd', 'a', 'e', 'a', 'e', 'd', 'e', 'a', 'e', 'b', 'b', 'a', 'c', 'a', 'c', 'c', 'e', 'b', 'd', 'e', 'd', 'e', 'b', 'b', 'a', 'a', 'c', 'd', 'd', 'e', 'e', 'a', 'e', 'c', 'd', 'c', 'd', 'b', 'c', 'b', 'b', 'd', 'd', 'a', 'a', 'e', 'e', 'b', 'a', 'd', 'a', 'a', 'e', 'e', 'a', 'a', 'b', 'b', 'b', 'b', 'c', 'd', 'c', 'a', 'c', 'a', 'e', 'a', 'b', 'b', 'e', 'd', 'e', 'd', 'e', 'a', 'b', 'd', 'a', 'e', 'c', 'e', 'c', 'b', 'a', 'a', 'e', 'd', 'e', 'b', 'e', 'd', 'b', 'e', 'd', 'b', 'b', 'c', 'a')",24,6,10380
30,spec_1.dot,3.73,"('c', 'd', 'b', 'd', 'e', 'a', 'd', 'd', 'a', 'e', 'b', 'c', 'd', 'd', 'e', 'b', 'd', 'c', 'c', 'c', 'd', 'c', 'b', 'e', 'a', 'd', 'b', 'c', 'd', 'a', 'e', 'c', 'c', 'd', 'd', 'a', 'a', 'c', 'e', 'c', 'a', 'e', 'd', 'e', 'c', 'd', 'c', 'd', 'd', 'c', 'd', 'c', 'a', 'e', 'a', 'c', 'd', 'b', 'a', 'b', 'c', 'c', 'a', 'a', 'b', 'c', 'c', 'a', 'd', 'd', 'e', 'e', 'c', 'e', 'a', 'a', 'e', 'a', 'e', 'a', 'b', 'a', 'c', 'c', 'b', 'd', 'd', 'b', 'a', 'd', 'c', 'c', 'c', 'e', 'a', 'a', 'b', 'c', 'e', 'b', 'd', 'b', 'a', 'c', 'd', 'a', 'd', 'b', 'a', 'a', 'c', 'a', 'e', 'b', 'a', 'b', 'a', 'e', 'e', 'a', 'b', 'e', 'b', 'a', 'd', 'b', 'e', 'e', 'd', 'c', 'd', 'a', 'a', 'a', 'a', 'c', 'b', 'c', 'e', 'b', 'd', 'e', 'a', 'b', 'b', 'd', 'b', 'c', 'e', 'c', 'e', 'a', 'e', 'b', 'a', 'e', 'd', 'b', 'd', 'e', 'a', 'c', 'b', 'd', 'e', 'd', 'a', 'e', 'c', 'a', 'e', 'd', 'd')",24,6,9292
30,spec_3.dot,2.81,"('a', 'e', 'e', 'd', 'a', 'e', 'a', 'b', 'b', 'e', 'a', 'd', 'd', 'd', 'c', 'a', 'e', 'b', 'b', 'd', 'd', 'a', 'e', 'a', 'b', 'e', 'c', 'a', 'c', 'e', 'a', 'c', 'd', 'd', 'd', 'e', 'c', 'c', 'b', 'e', 'e', 'c', 'e', 'a', 'e', 'b', 'd', 'd', 'd', 'c', 'a', 'b', 'c', 'b', 'b', 'e', 'b', 'd', 'c', 'a', 'd', 'a', 'e', 'a', 'c', 'd', 'd', 'e', 'b', 'd')",24,6,9312
30,spec_2.dot,3.5,"('b', 'a', 'e', 'c', 'a', 'a', 'd', 'd', 'a', 'a', 'a', 'b', 'c', 'a', 'e', 'b', 'c', 'b', 'e', 'e', 'b', 'b')",24,6,10939
26,spec_5.dot,1.81,"('c', 'b', 'b', 'b', 'c', 'c', 'c', 'a', 'd', 'b', 'c', 'c', 'e', 'e', 'a', 'c', 'e', 'b', 'd', 'a', 'e', 'd', 'e', 'e', 'c', 'd', 'b', 'a', 'e', 'e', 'a', 'b', 'a', 'd', 'c', 'c', 'e', 'b', 'a', 'e', 'e', 'b', 'a', 'e', 'b', 'a', 'c', 'd', 'a', 'e', 'c', 'a', 'd', 'd', 'd', 'b', 'b', 'a', 'a', 'e', 'e', 'e', 'd', 'b', 'e', 'c', 'b', 'e', 'c', 'e', 'b', 'c', 'd', 'b', 'c', 'a', 'b', 'd', 'a', 'a', 'c', 'd', 'b', 'b', 'c', 'c', 'c', 'c', 'd', 'e', 'e', 'd', 'b', 'b', 'c', 'e', 'b', 'b', 'c', 'b', 'c', 'a', 'd', 'd', 'b', 'c', 'd', 'd', 'b', 'c', 'b', 'c', 'c', 'e', 'd', 'd', 'c', 'a', 'd', 'e', 'c', 'b', 'e', 'a', 'e', 'c', 'd', 'b', 'b', 'c', 'd', 'd', 'b', 'a', 'e', 'b', 'e', 'd', 'a', 'a', 'd', 'b', 'd', 'd', 'a', 'd', 'c', 'e', 'b', 'd', 'd', 'e', 'e', 'e', 'e', 'd', 'a', 'a', 'b', 'a', 'b', 'b', 'a', 'e', 'b', 'a', 'e', 'c', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'd', 'd', 'e', 'b', 'd', 'a', 'e', 'b', 'd', 'd', 'd', 'c', 'e', 'e', 'd', 'e', 'c', 'e', 'c', 'd', 'd', 'a', 'e', 'd', 'e', 'd', 'a', 'd', 'c', 'a', 'a', 'c', 'a', 'd', 'c', 'e', 'd', 'e', 'a', 'd', 'b', 'e', 'b', 'b', 'a', 'b', 'b', 'e', 'b', 'c', 'e', 'a', 'd', 'e', 'a', 'a', 'd', 'a', 'b', 'c', 'e', 'c', 'a', 'c', 'e', 'e', 'c', 'c', 'e', 'c', 'a', 'e', 'a', 'e', 'b', 'b', 'd', 'c', 'e', 'a', 'b', 'c', 'c', 'a', 'e', 'c', 'b', 'e', 'b')",21,5,6009
26,spec_4.dot,7.67,"('d', 'c', 'd', 'a', 'a', 'c', 'a', 'd', 'a', 'd', 'd', 'b', 'e', 'e', 'e', 'c', 'e', 'a', 'a', 'c', 'b', 'e', 'e', 'd', 'b', 'e', 'c', 'e', 'a', 'c', 'd', 'a', 'c', 'c', 'b', 'e', 'a', 'a', 'b', 'a', 'b', 'e', 'c', 'a', 'a', 'b', 'a', 'a', 'c', 'c', 'e', 'e', 'b', 'e', 'd', 'e', 'c', 'a', 'b', 'd', 'e', 'c', 'b', 'a', 'c', 'c', 'e', 'e', 'c', 'e', 'd', 'a', 'b', 'c', 'a')",21,5,17608
26,spec_1.dot,4.14,"('d', 'b', 'b', 'c', 'b', 'c', 'd', 'b', 'e', 'e', 'e', 'e', 'e', 'c', 'e', 'c', 'd', 'd', 'c', 'b', 'd', 'a', 'd', 'd', 'd', 'a', 'b', 'e', 'a', 'e', 'd', 'c', 'b', 'e', 'a', 'd', 'e', 'd', 'b', 'd', 'b', 'e', 'a', 'a', 'a', 'b', 'd', 'd', 'e', 'b', 'c', 'e', 'b', 'b', 'e', 'b', 'a', 'b', 'd', 'd', 'd', 'e', 'c', 'a', 'd', 'b', 'a', 'b', 'e', 'c', 'a', 'e', 'b', 'b', 'd', 'b', 'a', 'b', 'b', 'e', 'c', 'd', 'b', 'e', 'b', 'e', 'd', 'c', 'd', 'd', 'a', 'b', 'd', 'c', 'd', 'a', 'e', 'b', 'e', 'b', 'd', 'd', 'b', 'b', 'e', 'a', 'a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'c', 'c', 'a', 'b', 'a', 'e', 'a', 'a', 'c', 'b', 'd', 'a', 'b', 'b', 'b', 'e', 'c', 'c', 'b', 'c', 'b', 'd', 'c', 'd', 'd', 'b', 'd', 'b', 'd', 'c', 'c', 'c', 'd', 'e', 'c', 'c', 'c', 'd', 'c', 'b', 'a', 'a', 'c', 'c', 'c', 'b', 'a', 'a', 'c', 'b', 'd', 'a', 'd', 'c', 'a', 'a', 'c', 'a', 'b', 'c', 'd', 'e', 'e', 'd', 'c', 'e', 'a', 'd', 'd', 'a', 'e', 'e', 'b', 'c', 'a', 'd', 'e', 'b', 'b', 'b', 'b', 'a', 'c', 'b', 'c', 'e', 'b', 'a', 'a', 'c', 'b', 'c', 'c', 'e', 'd', 'b', 'e', 'c', 'b', 'a', 'e', 'c', 'e', 'b', 'e', 'd', 'b', 'd', 'e', 'e', 'a', 'd', 'd', 'a', 'e', 'a', 'd', 'a', 'e', 'a', 'd', 'e', 'e', 'e', 'c', 'e', 'b', 'd', 'd', 'd', 'a', 'b', 'b', 'e', 'a', 'a', 'a', 'e', 'b', 'b', 'b', 'a', 'a', 'e', 'c', 'd', 'd', 'e', 'e', 'c', 'e', 'c', 'd', 'b', 'b', 'c', 'd', 'e', 'b', 'b')",21,5,10747
26,spec_3.dot,3.31,"('c', 'd', 'e', 'd', 'c', 'b', 'a', 'd', 'c', 'e', 'd', 'c', 'b', 'e', 'c', 'd', 'e', 'b', 'b', 'a', 'c', 'c', 'd', 'c', 'a', 'a', 'c', 'a', 'c', 'a', 'd', 'c', 'c', 'a', 'b', 'a', 'c', 'e', 'a', 'a', 'b', 'a', 'd', 'd', 'e', 'c', 'a', 'e', 'd', 'a', 'd', 'a', 'd', 'd', 'e')",21,5,9366
