name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,6.15,NAN,11,1,16170
13,spec_4.dot,43.4,"('b', 'a', 'd', 'b', 'a', 'e', 'e', 'e', 'a', 'e', 'd')",35,1,33592
13,spec_1.dot,6.66,NAN,11,1,16536
13,spec_3.dot,6.19,NAN,11,1,16212
13,spec_2.dot,2.96,"('a', 'c', 'e', 'c', 'd', 'd', 'a', 'a', 'e', 'b', 'd')",21,2,7593
22,spec_1.dot,4.66,NAN,9,7,14031
22,spec_2.dot,4.6,NAN,9,7,14031
12,spec_5.dot,7.74,NAN,15,5,19799
12,spec_4.dot,7.68,NAN,15,5,19772
12,spec_1.dot,10.3,"('a', 'a', 'e', 'c', 'e', 'a', 'd', 'c', 'c', 'c', 'd')",24,8,14170
12,spec_3.dot,5.48,"('a', 'a', 'a', 'e', 'e', 'e', 'e', 'c', 'b', 'c', 'c', 'd')",25,7,17583
12,spec_2.dot,7.03,NAN,15,5,19822
30,spec_5.dot,10.9,"('d', 'b', 'e', 'd', 'c', 'c', 'c', 'd', 'b', 'b', 'c')",41,11,30365
30,spec_4.dot,1.45e+02,"('a', 'a', 'b', 'e', 'c', 'a', 'c', 'e', 'a', 'c', 'd')",57,14,71670
30,spec_1.dot,6.54,"('d', 'e', 'c', 'a', 'c', 'a', 'e', 'd', 'a', 'e')",29,7,15520
30,spec_3.dot,2.09,"('a', 'a', 'd', 'c', 'c', 'e', 'c', 'e', 'a', 'c', 'd')",30,7,12068
30,spec_2.dot,23.1,"('b', 'd', 'd', 'a', 'd', 'b', 'e', 'd', 'c')",34,7,19723
26,spec_5.dot,15.1,NAN,21,5,27887
26,spec_4.dot,30.1,"('d', 'b', 'd', 'e', 'b', 'b', 'a', 'c', 'd', 'c', 'b', 'c', 'a', 'b', 'b')",34,6,21908
26,spec_1.dot,10.1,"('e', 'b', 'c', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",30,5,16260
26,spec_3.dot,16.0,"('a', 'b', 'a', 'a', 'a', 'e', 'c', 'c', 'c', 'a', 'a', 'b')",29,5,22190
26,spec_2.dot,7.63,"('a', 'c', 'd', 'e', 'b', 'a', 'c', 'b', 'b', 'a', 'd')",26,7,11152
9,spec_5.dot,6.2,NAN,14,8,18613
9,spec_4.dot,27.2,"('b', 'c', 'c', 'd', 'e', 'c', 'd', 'a', 'd', 'c', 'b')",20,12,20362
9,spec_1.dot,17.1,"('c', 'c', 'e', 'd', 'c', 'd', 'c', 'd', 'a', 'd', 'c', 'b')",45,29,37810
9,spec_3.dot,4.29,"('c', 'd', 'c', 'e', 'd', 'b', 'b', 'e', 'a', 'c', 'c', 'e')",37,27,19498
9,spec_2.dot,6.2,NAN,14,8,18613
2,spec_5.dot,8.55,"('d', 'e', 'c', 'a', 'a', 'b', 'e', 'a', 'c', 'e')",24,1,18126
2,spec_4.dot,16.4,"('a', 'c', 'c', 'b', 'a', 'e', 'e', 'e', 'b', 'e')",27,1,19662
2,spec_1.dot,43.2,"('a', 'a', 'd', 'b', 'c', 'c', 'd', 'd', 'b', 'a', 'a', 'c', 'b', 'd')",61,3,106788
2,spec_3.dot,91.2,"('a', 'b', 'b', 'c', 'c', 'e', 'e', 'e', 'e', 'a', 'c', 'b', 'e')",57,9,108357
2,spec_2.dot,10.8,"('b', 'a', 'a', 'd', 'c', 'b', 'e', 'b', 'e', 'c', 'c')",35,2,24951
11,spec_5.dot,12.3,"('a', 'c', 'd', 'c', 'd', 'e', 'e', 'e', 'a', 'e', 'a', 'a', 'e', 'c')",28,1,18907
11,spec_4.dot,0.713,"('e', 'a', 'e', 'e', 'd', 'b')",16,1,3387
11,spec_1.dot,6.3,NAN,14,1,19174
11,spec_3.dot,6.71,"('e', 'a', 'e', 'e', 'd', 'b')",18,1,20772
11,spec_2.dot,4.3,"('e', 'a', 'e', 'e', 'd', 'b')",17,1,12579
3,spec_5.dot,3.96,NAN,9,3,14106
3,spec_4.dot,3.96,NAN,9,3,14125
3,spec_1.dot,4.0,NAN,9,3,14215
3,spec_3.dot,4.28,NAN,9,3,14099
3,spec_2.dot,4.11,NAN,9,3,14184
5,spec_5.dot,2.16,"('c', 'e', 'a', 'b', 'e')",28,1,13433
5,spec_4.dot,0.443,"('c', 'e', 'a', 'b', 'e')",7,1,1272
5,spec_1.dot,6.8,"('c', 'e', 'a', 'b', 'e')",45,4,35712
5,spec_3.dot,6.92,"('c', 'e', 'a', 'b', 'e')",43,3,32227
5,spec_2.dot,6.99,"('c', 'a', 'd', 'e', 'e')",42,1,32849
14,spec_5.dot,5.45,"('b', 'b', 'a', 'e', 'b', 'b', 'e', 'd')",18,4,14365
14,spec_4.dot,3.79,"('a', 'a', 'e', 'd', 'c', 'a', 'e', 'd', 'b', 'c', 'b')",22,2,15096
14,spec_1.dot,6.03,NAN,12,2,17266
14,spec_3.dot,5.95,NAN,12,2,17143
14,spec_2.dot,5.97,NAN,12,2,17409
21,spec_5.dot,7.88,NAN,17,9,21969
21,spec_4.dot,83.3,"('a', 'c', 'b', 'c', 'a', 'd', 'b', 'c', 'e', 'a')",47,23,58005
21,spec_1.dot,3.63,"('b', 'd', 'c', 'a', 'c', 'e', 'd', 'e', 'c', 'c', 'c', 'd', 'c')",29,13,15257
21,spec_3.dot,12.6,"('a', 'b', 'a', 'a', 'a', 'b', 'a', 'e', 'a', 'a')",23,10,16469
21,spec_2.dot,14.7,"('b', 'e', 'a', 'e', 'c', 'a', 'b', 'c', 'c', 'c', 'c', 'c', 'd', 'a', 'b', 'd')",42,23,30402
19,spec_5.dot,11.9,NAN,21,13,26239
