name,during_time_spec,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,2.17,11,1,4175,3.338082006953341e-05,3.338082006953341e-05,0.0
22,1.06,9,7,2615,0.0,0.0,0.0
12,3.0,15,5,5639,1.6690410034766704e-05,1.6690410034766704e-05,0.0
30,9.02e+02,556,142,8582210,0.0008178300917035685,0.0013936492379030198,0.000709342426477585
26,4.05e+02,51,8,69483,0.00027539176557365064,0.0003421534057127174,0.00010014246020860022
9,2.5,14,8,5934,0.00014186848529551698,0.00014186848529551698,0.0
2,5.47,17,1,8549,0.0003588438157474841,0.0003588438157474841,0.0
11,2.2,14,1,5413,0.00012517807526075028,0.00012517807526075028,0.0
3,1.21,9,3,3165,0.0,0.0,0.0
5,9.01e+02,690,19,13336799,0.018860163339286376,0.01765010861176579,0.021171785129101565
14,1.72,12,2,3890,0.00020028492041720045,0.00020028492041720045,0.0
21,49.1,52,22,58096,0.00023366574048673387,0.00023366574048673387,0.0
19,6.37,21,13,9872,0.00025870135553888394,0.00025870135553888394,0.0
29,4.68,19,5,7443,0.00018359451038243375,0.00018359451038243375,0.0
25,1.3,8,3,2755,0.0,0.0,0.0
10,6.7,21,4,9699,0.00027539176557365064,0.00027539176557365064,0.0
8,9.39e+02,627,209,9744399,0.007577446155784084,0.009997555610825257,0.009129654289017387
17,1.59e+02,65,10,92036,0.0004923670960256178,0.0005007123010430011,2.5035615052150056e-05
15,2.11,16,12,5903,0.00010848766522598358,0.00010848766522598358,0.0
