name,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,4.5077459421897913e-05,4.808173322815592e-05,7.023324542629829e-06
22,2.016201532199818e-06,2.016201532199818e-06,1.3352328027813364e-08
12,4.307461021772591e-05,0.00019428972513271225,0.00015323131644718615
30,0.0007831273911592816,0.0013038681842440028,0.0007570903515050455
26,0.0002984378837496565,0.0011416373987060704,0.000993426557597342
9,0.00016124271326387418,0.00022232961399112032,7.712304668864999e-05
2,0.00029543360994339847,0.000519752720810663,0.0002243324631952923
11,0.00014421849502841214,0.0013118795810606908,0.0012017228748312306
3,1.3352328027813364e-08,1.3352328027813364e-08,1.3352328027813364e-08
5,0.01945068339864445,0.020539231941111933,0.02189816512614264
14,0.0002113139433681743,0.0002163210663786043,1.1029022950973838e-05
21,0.00020029827274522827,0.0002533737766557864,5.709455464692994e-05
19,0.00028041224091210847,0.00028642078852462446,8.024749144715832e-06
29,0.00025938232426830237,0.0034759581461685416,0.0033467743724994474
25,1.3352328027813364e-08,1.3352328027813364e-08,1.3352328027813364e-08
10,0.0002623865980745604,0.0003605262090789886,9.815296333245603e-05
8,0.007531727784616851,0.011046728137938718,0.011526410522337913
17,0.00042662023281666477,0.00042361595901040675,8.713729270951001e-05
15,9.915438793454204e-05,0.0002563780504620444,0.00017926835610142223
