name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
21,spec_2.dot,4.33,"('a', 'b', 'b', 'a', 'c', 'b', 'c', 'a', 'd', 'b', 'e')",25,15,11918
19,spec_5.dot,4.79,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'c', 'e', 'c')",28,18,12534
19,spec_4.dot,1.01e+02,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'e', 'b')",52,27,51920
19,spec_1.dot,8.5,"('a', 'a', 'b', 'e', 'b', 'b', 'e', 'd', 'e', 'e', 'a', 'a')",30,17,17312
19,spec_3.dot,22.7,"('e', 'd', 'd', 'b', 'e', 'd', 'e', 'c', 'b', 'a', 'a')",34,23,38661
19,spec_2.dot,12.5,"('c', 'b', 'a', 'e', 'a', 'e', 'c', 'e', 'c', 'b', 'a', 'a')",35,17,20950
29,spec_5.dot,13.4,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'e')",24,7,11014
29,spec_4.dot,3.5,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'e')",23,7,9046
29,spec_1.dot,11.9,"('c', 'd', 'b', 'c', 'c', 'b', 'd', 'a', 'e')",26,7,16478
29,spec_3.dot,2.28,"('c', 'd', 'b', 'c', 'c', 'b', 'd', 'a', 'e')",25,7,9555
29,spec_2.dot,4.3,"('b', 'b', 'c', 'a', 'a', 'b', 'd', 'a', 'c', 'a')",30,11,16297
25,spec_5.dot,9.05,NAN,8,3,27084
25,spec_4.dot,9.1,NAN,8,3,27080
25,spec_1.dot,8.86,NAN,8,3,27139
25,spec_3.dot,8.79,NAN,8,3,27149
25,spec_2.dot,8.76,NAN,8,3,27082
10,spec_5.dot,6.48,"('e', 'd', 'd', 'b', 'd', 'b')",25,5,17794
10,spec_4.dot,9.87e+02,NAN,52,8,91035
10,spec_1.dot,68.2,"('d', 'e', 'b', 'd', 'c', 'b', 'b', 'd', 'e', 'b')",30,5,21158
10,spec_3.dot,67.0,"('a', 'd', 'b', 'c', 'a', 'd', 'e', 'a', 'b', 'a')",52,16,66793
10,spec_2.dot,14.8,"('d', 'e', 'b', 'a', 'a', 'a', 'e', 'e', 'e', 'e', 'b', 'a', 'e', 'a')",38,8,28941
8,spec_5.dot,2.15,"('b', 'b', 'b', 'c', 'd', 'b', 'a', 'c')",24,9,6959
8,spec_4.dot,3.22,"('c', 'd', 'b', 'a', 'b')",24,11,8113
8,spec_1.dot,3.38,"('c', 'a', 'd', 'd', 'a')",26,8,9581
8,spec_3.dot,1.26,"('c', 'd', 'b', 'a', 'b')",23,10,6397
8,spec_2.dot,2.41,"('c', 'a', 'd', 'd', 'a')",23,8,6163
17,spec_5.dot,3.28,"('e', 'a', 'b', 'b', 'd', 'd', 'c', 'c', 'a', 'a')",28,8,13117
17,spec_4.dot,14.5,"('e', 'a', 'c', 'c', 'a', 'c', 'e', 'b', 'e', 'b')",28,8,12860
17,spec_1.dot,25.2,"('c', 'd', 'a', 'd', 'e', 'c', 'a', 'b', 'a', 'a')",38,9,25213
17,spec_3.dot,17.0,"('a', 'a', 'a', 'e', 'b', 'a', 'e', 'c', 'b', 'a', 'a')",28,8,16519
17,spec_2.dot,13.9,"('a', 'b', 'a', 'd', 'e', 'a', 'c', 'd', 'd', 'a')",30,9,26928
15,spec_4.dot,4.47,"('a', 'd', 'e', 'b', 'c', 'a', 'e', 'b', 'b', 'b', 'd', 'b', 'b')",31,25,18567
15,spec_1.dot,15.7,NAN,16,12,39990
15,spec_3.dot,4.28,"('c', 'd', 'c', 'e', 'c', 'b', 'e', 'e', 'e', 'b', 'a', 'b')",33,24,15949
15,spec_2.dot,15.7,NAN,16,12,39990
