name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,23.1,"('e', 'a', 'c', 'd', 'd', 'a', 'c', 'b', 'c', 'c', 'a', 'd')",34,2,34025
13,spec_4.dot,40.1,"('d', 'b', 'a', 'e', 'e', 'e', 'd', 'a', 'a', 'a', 'd')",31,1,71293
name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,4.41,"('d', 'd', 'a', 'a', 'e', 'a', 'e', 'c')",15,1,15106
13,spec_4.dot,14.4,"('b', 'a', 'c', 'c', 'b', 'c', 'e', 'a', 'c', 'b', 'a', 'b', 'a', 'c')",31,1,38839
13,spec_1.dot,62.1,"('d', 'b', 'a', 'e', 'e', 'e', 'd', 'a', 'e', 'd')",17,1,81993
13,spec_3.dot,5.01,"('c', 'e', 'd', 'd', 'a', 'a', 'e', 'd', 'a', 'c', 'd')",26,1,17152
13,spec_2.dot,5.18,"('b', 'c', 'b', 'e', 'c', 'e', 'a', 'a', 'd')",20,1,17676
22,spec_1.dot,36.9,NAN,9,7,120831
22,spec_2.dot,37.2,NAN,9,7,120831
12,spec_5.dot,52.1,NAN,15,5,122199
12,spec_4.dot,90.6,"('e', 'c', 'a', 'b', 'e', 'e', 'b', 'd', 'a', 'e', 'e')",30,11,29322
12,spec_1.dot,8.3,"('b', 'b', 'a', 'a', 'b', 'b', 'b', 'e', 'b', 'a', 'a')",26,8,17808
12,spec_3.dot,19.0,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",25,6,38722
12,spec_2.dot,11.9,"('e', 'a', 'c', 'a', 'b', 'e', 'e', 'a', 'd', 'c', 'a', 'a')",31,12,29010
30,spec_5.dot,9.05,"('b', 'd', 'd', 'a', 'd', 'b', 'e', 'd', 'c')",30,6,14762
30,spec_4.dot,2.32,"('b', 'e', 'd', 'e', 'b', 'e', 'd', 'c', 'a')",29,10,11245
30,spec_1.dot,20.7,"('b', 'e', 'd', 'e', 'b', 'e', 'd', 'a', 'e')",31,10,23852
30,spec_3.dot,31.6,"('d', 'c', 'a', 'c', 'e', 'a', 'c', 'd')",30,7,20063
30,spec_2.dot,29.0,"('a', 'b', 'd', 'c', 'b', 'd', 'd', 'b', 'd', 'a', 'a', 'c', 'b')",36,9,29183
26,spec_5.dot,32.9,"('a', 'a', 'a', 'e', 'c', 'c', 'c', 'a', 'c', 'c', 'b')",38,5,28477
26,spec_4.dot,32.3,"('a', 'c', 'd', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",25,5,18725
26,spec_1.dot,12.2,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",31,5,20452
26,spec_3.dot,5.86,"('a', 'c', 'd', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",25,5,8930
26,spec_2.dot,59.9,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'a', 'b', 'c', 'b')",39,11,37998
9,spec_5.dot,5.04,"('b', 'b', 'd', 'd', 'd', 'a', 'd', 'c', 'd', 'c')",20,12,15333
9,spec_4.dot,9.01,"('b', 'c', 'e', 'd', 'd', 'd', 'c', 'd', 'c')",19,13,8693
9,spec_1.dot,15.4,"('c', 'a', 'b', 'b', 'b', 'b', 'e', 'a', 'c', 'a', 'a', 'e')",22,14,12300
9,spec_3.dot,10.1,"('c', 'a', 'd', 'b', 'b', 'e', 'a', 'c', 'c', 'a', 'd', 'a')",23,16,10453
9,spec_2.dot,13.7,"('c', 'a', 'c', 'a', 'd', 'd', 'd', 'c', 'd', 'c')",20,14,11917
2,spec_5.dot,1.98e+02,"('a', 'a', 'c', 'a', 'e', 'd', 'b', 'b', 'd')",43,1,54320
2,spec_4.dot,7.22,"('a', 'a', 'd', 'a', 'a', 'a', 'b', 'b', 'c', 'b', 'e', 'b')",33,2,22487
2,spec_1.dot,8.21,"('e', 'd', 'd', 'c', 'e', 'b', 'a', 'b', 'e', 'c', 'd')",29,1,20053
2,spec_3.dot,66.6,"('d', 'c', 'b', 'e', 'e', 'a', 'e', 'e', 'c', 'e')",21,1,25639
2,spec_2.dot,10.2,"('a', 'a', 'd', 'a', 'a', 'a', 'b', 'b', 'c', 'c')",27,1,23668
11,spec_5.dot,7.33,"('e', 'c', 'a', 'a', 'c', 'a', 'a', 'a', 'b')",32,2,20840
11,spec_4.dot,16.0,"('e', 'a', 'e', 'e', 'd', 'b')",28,3,42973
11,spec_1.dot,42.2,"('e', 'a', 'd', 'd', 'b', 'e', 'c', 'b', 'e', 'c', 'a', 'a', 'a', 'b')",35,3,53716
11,spec_3.dot,11.8,"('a', 'e', 'e', 'b', 'd', 'a', 'a', 'c', 'a', 'a', 'a', 'b')",23,3,29200
11,spec_2.dot,51.7,"('a', 'b', 'b', 'b', 'e', 'a', 'a', 'a', 'c', 'a', 'e', 'c')",37,1,46066
3,spec_5.dot,38.1,NAN,9,3,120706
3,spec_4.dot,38.0,NAN,9,3,120706
3,spec_1.dot,37.1,NAN,9,3,120730
3,spec_3.dot,38.1,NAN,9,3,120705
3,spec_2.dot,37.0,NAN,9,3,120735
5,spec_5.dot,2.73,"('c', 'e', 'a', 'b', 'e')",30,1,15880
5,spec_4.dot,3.88,"('c', 'a', 'd', 'e', 'e')",27,1,13354
5,spec_1.dot,1.9,"('c', 'e', 'a', 'b', 'e')",27,1,12453
5,spec_3.dot,0.616,"('d', 'e', 'c', 'b', 'e')",8,1,1482
5,spec_2.dot,0.508,"('c', 'e', 'a', 'b', 'e')",12,1,2446
14,spec_5.dot,12.1,"('c', 'a', 'b', 'e', 'd', 'b', 'd', 'e', 'e')",19,2,25841
14,spec_4.dot,5.52,"('b', 'b', 'a', 'e', 'b', 'b', 'e', 'd')",18,4,15286
14,spec_1.dot,13.2,"('c', 'a', 'b', 'e', 'd', 'b', 'd', 'a', 'd', 'a')",25,2,37072
14,spec_3.dot,4.58,"('a', 'b', 'b', 'c', 'b', 'e', 'e', 'c', 'a', 'b')",19,3,13461
14,spec_2.dot,10.6,"('b', 'e', 'c', 'a', 'd', 'e', 'b', 'b', 'a', 'a')",35,4,23850
21,spec_5.dot,14.5,"('b', 'd', 'c', 'a', 'd', 'd', 'd', 'c', 'b', 'a')",29,18,27493
21,spec_4.dot,12.7,"('b', 'a', 'b', 'd', 'e', 'e', 'e', 'e', 'e', 'e', 'c', 'd')",27,19,34374
21,spec_1.dot,53.0,"('a', 'b', 'a', 'b', 'd', 'a', 'c', 'c', 'e', 'e', 'c', 'c', 'c', 'b', 'a')",39,18,39618
21,spec_3.dot,6.61,"('a', 'a', 'e', 'd', 'd', 'c', 'a', 'e', 'c', 'c', 'c', 'c', 'a')",32,16,19652
21,spec_2.dot,6.8,"('a', 'b', 'a', 'a', 'a', 'b', 'a', 'e', 'a', 'a')",23,10,8833
19,spec_5.dot,5.28,"('c', 'b', 'a', 'e', 'a', 'e', 'c', 'b', 'c', 'c', 'a', 'a')",34,20,16130
19,spec_4.dot,21.6,"('a', 'a', 'e', 'a', 'b', 'b', 'a', 'e', 'b', 'c', 'c', 'a', 'a', 'a', 'd')",32,21,23866
19,spec_1.dot,23.3,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'd', 'b', 'a', 'd', 'a', 'c')",38,26,24048
19,spec_3.dot,3.79,"('a', 'e', 'a', 'a', 'b', 'a', 'e', 'd', 'c', 'e', 'c')",28,18,11505
19,spec_2.dot,13.5,"('a', 'a', 'a', 'a', 'c', 'e', 'a', 'e', 'd', 'c', 'e', 'd', 'b')",29,18,28436
29,spec_5.dot,17.6,"('a', 'a', 'c', 'a', 'b', 'd', 'a', 'b', 'd', 'c')",28,10,14688
29,spec_4.dot,12.8,"('b', 'e', 'b', 'a', 'e', 'b', 'd', 'd', 'c', 'a')",25,8,12958
29,spec_1.dot,2.05,"('a', 'a', 'a', 'c', 'c', 'b', 'a', 'e', 'b', 'b')",25,6,9697
29,spec_3.dot,20.6,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'e')",23,7,30910
29,spec_2.dot,15.2,"('b', 'a', 'c', 'c', 'e', 'e', 'b', 'b', 'a', 'c', 'd', 'd')",32,8,19736
25,spec_5.dot,36.5,NAN,8,3,120482
25,spec_4.dot,37.3,NAN,8,3,120482
25,spec_1.dot,36.5,NAN,8,3,120482
25,spec_3.dot,35.5,NAN,8,3,120476
25,spec_2.dot,36.8,NAN,8,3,120482
10,spec_5.dot,6.06,"('c', 'a', 'd', 'd', 'c', 'e', 'd', 'c', 'b', 'a')",32,5,16138
10,spec_4.dot,14.9,"('e', 'b', 'a', 'b', 'e', 'a', 'd', 'd', 'a')",27,4,22854
10,spec_1.dot,43.3,"('d', 'a', 'a', 'd', 'c', 'b', 'b', 'd', 'b')",35,5,31003
10,spec_3.dot,19.0,"('b', 'a', 'c', 'a', 'd', 'e', 'a', 'e', 'e', 'b', 'a')",27,7,32255
10,spec_2.dot,31.0,"('a', 'a', 'c', 'd', 'c', 'b', 'c', 'a', 'a', 'd', 'd', 'c')",30,7,20668
8,spec_5.dot,1.0,"('c', 'd', 'b', 'a', 'd')",23,10,6413
8,spec_4.dot,1.83,"('c', 'a', 'd', 'd', 'a')",26,9,8718
8,spec_1.dot,1.45,"('c', 'd', 'b', 'a', 'd')",26,12,8269
8,spec_3.dot,1.61,"('c', 'a', 'c', 'b', 'b', 'a')",27,9,9665
8,spec_2.dot,2.22,"('c', 'e', 'b', 'c', 'a', 'c', 'd')",24,8,7454
17,spec_5.dot,2.58,"('d', 'c', 'b', 'e', 'b', 'd', 'd', 'd', 'b', 'a', 'a', 'b')",30,8,12477
17,spec_4.dot,6.64,"('b', 'b', 'd', 'b', 'd', 'c', 'b')",24,6,13553
17,spec_1.dot,7.58,"('e', 'd', 'c', 'c', 'b', 'e', 'e', 'e', 'c', 'b')",29,6,20069
17,spec_3.dot,78.8,"('e', 'b', 'd', 'd', 'e', 'b', 'e', 'e', 'a', 'b', 'e', 'a', 'c', 'c')",53,10,56758
