name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,11.5,NAN,11,1,32163
13,spec_4.dot,12.6,"('e', 'd', 'b', 'a', 'e', 'e', 'b', 'd', 'e', 'd')",28,1,27648
13,spec_1.dot,6.92,"('a', 'a', 'c', 'c', 'e', 'a', 'b', 'a', 'e', 'a', 'd')",20,1,13721
13,spec_3.dot,3.36,"('e', 'd', 'a', 'a', 'e', 'e', 'b', 'b', 'a', 'c')",22,1,12119
13,spec_2.dot,11.1,NAN,11,1,32519
22,spec_1.dot,8.33,NAN,9,7,28631
22,spec_2.dot,8.25,NAN,9,7,28631
12,spec_5.dot,14.2,NAN,15,5,38509
12,spec_4.dot,14.2,NAN,15,5,38399
12,spec_1.dot,9.36,"('a', 'a', 'a', 'e', 'e', 'e', 'e', 'a', 'e', 'b', 'e', 'd', 'c')",26,7,23816
12,spec_3.dot,13.2,NAN,15,5,38399
12,spec_2.dot,44.8,"('b', 'b', 'a', 'a', 'b', 'e', 'e', 'a', 'd', 'c', 'a', 'a')",35,13,58149
30,spec_5.dot,10.7,"('a', 'a', 'd', 'c', 'c', 'e', 'c', 'e', 'a', 'c', 'd')",30,7,15588
30,spec_4.dot,27.6,"('a', 'a', 'd', 'c', 'c', 'e', 'c', 'e', 'a', 'c', 'd')",63,17,71815
30,spec_1.dot,17.6,"('d', 'a', 'a', 'c', 'e', 'c', 'a', 'b', 'a', 'c')",34,7,20504
30,spec_3.dot,56.4,"('d', 'a', 'a', 'd', 'a', 'a', 'c', 'c', 'c')",55,14,69869
30,spec_2.dot,11.6,"('a', 'b', 'd', 'a', 'd', 'b', 'e', 'a', 'b', 'b')",28,6,14595
26,spec_5.dot,45.8,"('a', 'e', 'd', 'a', 'a', 'e', 'b', 'a', 'e')",53,12,67171
26,spec_4.dot,14.6,"('a', 'c', 'd', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",25,5,22105
26,spec_1.dot,11.1,"('b', 'c', 'b', 'a', 'c', 'c', 'e', 'e', 'b', 'e', 'a', 'a', 'c', 'a')",36,10,27377
26,spec_3.dot,7.39,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",28,5,17304
26,spec_2.dot,40.4,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",30,5,22717
