name,extraction_time,dfa_extract_states,dfa_extract_final,extraction_time_icml18,dfa_icml18_states,dfa_icml18_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_rnn_vs_icml18,dist_inter_vs_extr,dist_inter_vs_icml18
13,54.9,11,1,0.061936140060424805,1,0,4.172602508691676e-05,4.172602508691676e-05,0.0495287917781702,0.0,0.049553827393222345
name,extraction_time,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,1.36e+04,538,21,4.6399339896651434e-05,0.00020162015321998177,0.00016389982654140903
22,38.8,9,7,2.6704656055626727e-06,2.6704656055626727e-06,0.0
12,2.8e+02,34,12,4.1392216886221425e-05,4.1392216886221425e-05,0.0
30,1.52e+04,520,124,0.000786452120838207,0.0008879298138495886,0.00037252995197599285
26,2.34e+04,523,138,0.0002840707787917293,0.001984489753133761,0.0018559735958660576
9,74.6,14,8,0.00014587418370386098,0.00014587418370386098,0.0
2,2.11e+04,533,37,0.00027605938197504127,0.0006722897162004029,0.0004115855114573469
11,1.16e+04,514,58,0.00015488700512263502,0.00031110924304805136,0.00021497248124779516
3,39.0,9,3,0.0,0.0,0.0
5,9.23e+03,520,15,0.019327494820259843,0.018539373658418158,0.021343362544258965
14,1.37e+04,542,73,0.0002173091386526625,0.000437622551111583,0.0002450152193103752
21,2.01e+04,544,231,0.00022164864526170183,0.0002723874917673926,8.612251577939619e-05
19,3.04e+04,536,319,0.0002443476029089845,0.0005791572282064046,0.00036084666495165614
29,1.99e+04,516,197,0.0002173091386526625,0.0017721877374915287,0.001651682977040513
25,36.5,8,3,3.338082006953341e-07,3.338082006953341e-07,0.0
10,2.63e+04,525,118,0.00026103801294375127,0.0009099611550954807,0.0006742925654045749
8,2.25e+04,512,174,0.007427900081872574,0.027053819433554047,0.026854202129538235
17,2.63e+04,536,100,0.0004913656714235318,0.000925316332327466,0.0005227436422888932
15,1.4e+02,23,17,9.11296387898262e-05,9.179725519121687e-05,6.676164013906682e-07
