name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
12,spec_second_5.dot,18.8,NAN,15,5,51030,9.07,"('b', 'a', 'd', 'b', 'e', 'c', 'd', 'b', 'd', 'b', 'a', 'd', 'b', 'd', 'a', 'a', 'd', 'e', 'c', 'd', 'c', 'a', 'a', 'e', 'c', 'e', 'c', 'b', 'a', 'b', 'd', 'c', 'c', 'c', 'b', 'a', 'd', 'd', 'd', 'e', 'a', 'c', 'e', 'b', 'b', 'a', 'd', 'c', 'c', 'c', 'a', 'e', 'd', 'b', 'b', 'a', 'a', 'c', 'd', 'c', 'a', 'b', 'e', 'a', 'b', 'c', 'c', 'c')",24600
12,spec_second_3.dot,11.1,"('a', 'a', 'e', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",23,6,32988,44.0,NAN,120000
30,spec_second_4.dot,11.5,"('b', 'd', 'd', 'b', 'b', 'e', 'd', 'a', 'c', 'b', 'c', 'a', 'e', 'b')",47,12,38303,32.5,"('b', 'd', 'a', 'e', 'c', 'a', 'b', 'b', 'a', 'a', 'c', 'b', 'c', 'b', 'e', 'b', 'b', 'a', 'c', 'e', 'd', 'a', 'c', 'c', 'b', 'd', 'a', 'a', 'c', 'e', 'c', 'b', 'c', 'd', 'c', 'a', 'a', 'e', 'e', 'a', 'a', 'd', 'e', 'b')",60400
30,spec_second_2.dot,4.44,"('d', 'a', 'b', 'd', 'c', 'b', 'b', 'd', 'c', 'a', 'e', 'd')",42,10,27626,2.88,"('b', 'e', 'c', 'd', 'd', 'a', 'b', 'a', 'e', 'd', 'c', 'c', 'e', 'a', 'c', 'e', 'c', 'c', 'c', 'b', 'd', 'c', 'd', 'c', 'e', 'a', 'd', 'd', 'a', 'd', 'c', 'b', 'c', 'd', 'e', 'c', 'b', 'b', 'c', 'e', 'e', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'c', 'e', 'b', 'c', 'd', 'd', 'd', 'c', 'c', 'a', 'e', 'b', 'd', 'd', 'c', 'd', 'a', 'b', 'd', 'a', 'd', 'd', 'c', 'c', 'a', 'c', 'e', 'c', 'c', 'e', 'd', 'c', 'b', 'd', 'd', 'a', 'c', 'a', 'c')",5200
30,spec_second_1.dot,20.6,"('d', 'b', 'e', 'd', 'c', 'c', 'c', 'd', 'b', 'e', 'a', 'e', 'e')",45,11,37476,64.8,NAN,120000
30,spec_second_5.dot,10.4,"('a', 'e', 'b', 'e', 'd', 'c', 'a', 'd', 'e', 'b', 'b', 'c')",45,12,31725,1.72,"('d', 'a', 'b', 'b', 'c', 'c', 'c', 'e', 'e', 'c', 'd', 'd', 'e', 'd', 'b', 'a', 'a', 'b', 'e', 'a', 'b', 'a', 'c', 'e', 'd', 'd')",3400
30,spec_second_3.dot,71.1,"('b', 'a', 'e', 'd', 'e', 'b', 'e', 'd', 'a', 'e')",32,11,24917,4.94,"('c', 'd', 'd', 'd', 'c', 'b', 'c', 'e', 'c', 'c', 'e', 'a', 'd', 'a', 'd', 'b', 'd', 'b', 'a', 'd', 'a', 'd', 'e', 'a', 'b', 'e', 'c', 'e', 'a', 'a', 'd', 'd', 'd', 'b', 'a', 'c', 'a', 'c', 'd', 'b', 'd', 'b', 'd', 'e', 'b', 'd', 'a', 'd', 'e', 'd', 'e', 'a', 'e', 'a', 'a', 'b', 'a', 'd', 'a', 'b', 'b', 'e', 'd', 'e', 'a', 'b', 'd', 'd', 'c', 'a', 'd', 'd', 'a', 'd', 'b', 'e', 'a', 'b', 'e', 'd', 'd', 'e', 'c', 'd', 'b', 'b', 'd', 'e', 'd', 'a', 'd', 'a', 'e', 'c', 'b', 'a', 'e', 'b', 'b', 'a', 'a', 'c', 'd', 'c', 'a', 'c', 'e', 'd', 'd', 'd', 'c', 'c', 'c', 'e', 'c', 'a', 'b', 'e', 'e', 'b', 'd', 'd', 'c', 'c', 'e', 'e', 'b', 'c', 'c', 'e', 'd')",9000
26,spec_second_4.dot,33.3,"('a', 'e', 'e', 'd', 'c', 'c', 'c', 'e', 'b', 'e', 'a', 'a', 'c', 'c', 'c')",46,10,50303,13.0,"('d', 'b', 'b', 'e', 'e', 'd', 'd', 'b', 'a', 'd', 'd', 'a', 'c', 'a', 'd', 'b', 'b', 'a', 'd', 'c', 'a', 'b', 'd', 'c', 'c', 'c', 'e', 'b', 'c', 'b', 'b', 'c', 'e', 'e', 'd', 'e', 'a', 'b', 'e', 'c', 'e')",24600
26,spec_second_2.dot,50.4,"('a', 'c', 'd', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",27,5,17284,0.0985,"('a', 'c', 'd', 'a', 'd', 'd', 'c', 'b', 'b', 'a', 'a', 'a', 'd', 'e', 'e', 'a', 'e', 'b', 'e', 'a', 'e', 'b', 'b', 'a', 'a', 'e', 'a', 'b', 'a', 'd', 'c', 'c', 'c', 'e', 'b', 'b', 'a', 'b')",200
26,spec_second_1.dot,14.6,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'e', 'b')",28,8,19355,0.68,"('c', 'c', 'c', 'b', 'b', 'a', 'a', 'b', 'c', 'c', 'd', 'c', 'd', 'a', 'a', 'b', 'c', 'e', 'a', 'b', 'c', 'e', 'b', 'e', 'e', 'd', 'd', 'a', 'e', 'a', 'd', 'd', 'a', 'b', 'a', 'c', 'a', 'a', 'a', 'd', 'e', 'c', 'b', 'c', 'c', 'd', 'e', 'e', 'e', 'a', 'd', 'b', 'd', 'b', 'e', 'c', 'd', 'a', 'a', 'e', 'b', 'd', 'd', 'b', 'b', 'a', 'e', 'b', 'b', 'b', 'a', 'a', 'e', 'b', 'b', 'd', 'd', 'c')",1200
26,spec_second_5.dot,26.4,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'a', 'd', 'd', 'a')",33,6,19793,6.61,"('e', 'd', 'c', 'd', 'a', 'c', 'c', 'b', 'b', 'c', 'a', 'c', 'e', 'a', 'd', 'a', 'b', 'c', 'e', 'b', 'b', 'b', 'd', 'c', 'e', 'd', 'b')",12400
26,spec_second_3.dot,3.69,"('a', 'c', 'd', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",26,5,9916,0.907,"('b', 'd', 'c', 'c', 'c', 'b', 'c', 'c', 'e', 'c', 'd', 'd', 'd', 'a', 'd', 'c', 'e', 'e', 'b', 'a', 'c', 'd', 'a', 'd', 'e', 'd', 'e', 'd', 'c', 'a', 'a', 'b', 'b', 'c', 'a', 'c', 'e', 'd', 'a', 'a', 'd', 'd', 'c', 'b', 'd', 'd', 'e', 'a', 'd', 'a', 'd', 'c', 'c', 'b', 'b', 'c', 'd', 'e', 'b', 'd', 'e', 'd', 'd', 'a', 'd', 'e', 'e', 'c', 'a', 'a', 'c', 'd', 'a', 'b', 'a', 'b', 'a', 'e', 'b', 'e', 'd', 'b', 'c', 'b', 'b', 'e', 'c', 'a', 'b', 'd', 'a', 'e', 'd', 'c', 'e', 'c', 'a', 'e', 'd', 'b', 'e', 'c', 'b', 'a', 'b', 'e', 'd', 'd', 'd', 'c', 'b', 'c', 'a', 'd', 'b', 'd', 'e', 'd', 'd', 'b', 'a', 'd', 'a', 'b', 'a', 'b', 'b', 'a', 'e', 'b', 'a', 'b', 'c', 'e', 'c', 'a', 'a', 'a', 'a', 'c', 'd', 'e', 'b', 'd', 'e', 'c', 'd', 'e', 'b', 'a', 'b', 'e', 'c', 'd', 'b', 'd', 'c', 'a', 'e', 'c', 'd', 'c', 'b', 'd', 'b', 'b', 'd', 'e', 'c', 'b', 'b', 'c', 'a', 'a', 'b', 'c', 'c', 'b', 'a', 'e', 'b', 'd', 'c', 'd', 'e', 'b', 'd', 'b', 'c', 'c', 'c', 'd', 'd', 'b', 'b', 'e', 'd', 'b', 'd', 'b', 'a', 'a', 'b', 'a', 'd', 'c', 'c', 'a', 'a', 'd', 'b', 'a', 'c', 'e', 'b', 'b', 'd', 'd', 'a', 'a', 'c', 'd', 'd', 'c', 'd', 'd', 'c', 'e', 'd', 'c', 'b', 'd', 'a', 'b', 'a', 'b', 'a', 'a', 'a', 'b', 'e', 'd', 'a', 'e', 'e', 'c', 'a', 'd', 'b', 'b', 'a', 'b', 'c', 'c', 'c', 'a', 'd', 'a', 'b', 'e', 'b', 'a', 'e', 'e', 'c', 'b', 'a', 'a', 'a', 'c', 'b', 'c', 'a', 'e', 'a', 'c', 'c', 'a', 'd', 'a', 'd', 'b', 'e', 'b', 'a', 'c', 'b', 'b', 'a', 'c', 'b', 'a', 'e', 'b', 'c', 'b', 'd', 'd', 'd', 'e', 'd', 'b', 'c', 'a', 'e', 'c', 'c', 'c', 'c', 'd', 'e', 'e', 'b', 'b', 'e', 'b', 'b', 'c', 'b', 'd', 'c', 'c', 'e', 'b', 'd', 'b', 'e', 'e', 'b', 'b', 'a', 'e', 'd', 'b', 'e', 'e', 'e', 'c', 'a', 'd', 'd', 'e', 'e', 'e', 'c', 'e', 'd', 'c', 'e', 'b', 'b', 'c', 'c', 'e', 'c', 'c', 'b', 'a', 'd', 'c', 'a', 'e', 'c', 'c', 'e', 'e', 'b', 'c', 'e', 'b', 'e', 'c', 'b', 'b', 'd', 'e', 'b', 'b', 'b', 'd', 'a', 'd', 'a', 'c', 'e', 'b')",1800
9,spec_second_4.dot,8.53,"('c', 'a', 'c', 'a', 'd', 'd', 'd', 'c', 'd', 'c')",20,14,19914,1.81,"('c', 'b', 'c', 'c', 'd', 'c', 'c', 'c', 'd', 'd', 'd', 'a', 'd', 'c', 'e', 'b', 'e', 'c', 'b', 'd', 'd', 'b', 'e')",5200
9,spec_second_2.dot,22.2,"('a', 'c', 'a', 'a', 'c', 'c', 'c', 'e', 'c', 'e', 'e', 'a', 'b', 'e')",25,15,16002,43.4,NAN,120000
9,spec_second_1.dot,19.2,"('e', 'b', 'a', 'c', 'e', 'e', 'a', 'd', 'c', 'd', 'a', 'e', 'd')",28,21,44440,42.9,NAN,120000
9,spec_second_5.dot,19.6,NAN,14,8,54619,1.58,"('c', 'b', 'd', 'a', 'c', 'd', 'a', 'b', 'c', 'a', 'b', 'e', 'd', 'c', 'e', 'd', 'b', 'c', 'e', 'c', 'c', 'a', 'c', 'e', 'b', 'd', 'c', 'b', 'c', 'e', 'e', 'b', 'b', 'e', 'b', 'a', 'e', 'e', 'e', 'e', 'c', 'd', 'b', 'b', 'e', 'a', 'c', 'c', 'e', 'e', 'e', 'e', 'c', 'a', 'b')",4400
9,spec_second_3.dot,10.1,"('e', 'b', 'b', 'b', 'd', 'd', 'c', 'd', 'c', 'b')",22,14,9851,1.61,"('c', 'b', 'b', 'e', 'e', 'b', 'e', 'e', 'a', 'a', 'c', 'e', 'e', 'd', 'b', 'e', 'e', 'd', 'e', 'c', 'd', 'a', 'b', 'b', 'c', 'c', 'a', 'b', 'd', 'd', 'b', 'c', 'b', 'b', 'd', 'e', 'c', 'e', 'c', 'e', 'b', 'e', 'c', 'b', 'c', 'c', 'e', 'b', 'd', 'd', 'c', 'b', 'e', 'b', 'e', 'c', 'c', 'c', 'c', 'd', 'a', 'a', 'a', 'a', 'a', 'd', 'a', 'd', 'd', 'c', 'b', 'a', 'a', 'd', 'd', 'e', 'a', 'a', 'c', 'c', 'd', 'e', 'a', 'a', 'd', 'd', 'a', 'a', 'c', 'b', 'c', 'b', 'a', 'a', 'd', 'e', 'b', 'd', 'a', 'c', 'c', 'e', 'e', 'e', 'a', 'd', 'c', 'c', 'e', 'e', 'e', 'e', 'e', 'a', 'd', 'd', 'c', 'c', 'a', 'b', 'a', 'c', 'e', 'd', 'b', 'd', 'b', 'c', 'c', 'd', 'd', 'd', 'b', 'd', 'd', 'e', 'c', 'c', 'b', 'e', 'e', 'd', 'd', 'c', 'd', 'a', 'd', 'c', 'c', 'c', 'c', 'c', 'b', 'c', 'e', 'c', 'e', 'b', 'e')",4600
2,spec_second_4.dot,17.9,"('d', 'e', 'c', 'a', 'd', 'c', 'c', 'b', 'd')",23,1,12583,1.65,"('b', 'c', 'b', 'b', 'b', 'c', 'd', 'd', 'a', 'a', 'b', 'd', 'e', 'e', 'd', 'a', 'd', 'e', 'c', 'e', 'c', 'd', 'a', 'b', 'c', 'e', 'e', 'd', 'a', 'a', 'e', 'd', 'c', 'b', 'a', 'e', 'e', 'e', 'c', 'c', 'c', 'b', 'e', 'b', 'a', 'd', 'c', 'b', 'c', 'c', 'd', 'e', 'd', 'e', 'b', 'e', 'a', 'e', 'b', 'a', 'd', 'd', 'e', 'a', 'a', 'a', 'b', 'e', 'c', 'c', 'c', 'e', 'c', 'a', 'd', 'a', 'e', 'e', 'a', 'd', 'e', 'a', 'b', 'b', 'd', 'e', 'c', 'a', 'a', 'b', 'c', 'b', 'c', 'e', 'c', 'b', 'e', 'a', 'c', 'e', 'e', 'd', 'a', 'c', 'a', 'b', 'd', 'c', 'd', 'e', 'd', 'b', 'b', 'c', 'b', 'c', 'd', 'e', 'a', 'b', 'e', 'c', 'e', 'e', 'a', 'c', 'c', 'c', 'c', 'c', 'c', 'd', 'e', 'd', 'd', 'a', 'd', 'b', 'd', 'b', 'd', 'a', 'b', 'c', 'b', 'a', 'c', 'e', 'e', 'd', 'e', 'd', 'a', 'd', 'a', 'a', 'd', 'c', 'd', 'd', 'b', 'd', 'e', 'b', 'e', 'e', 'd', 'a', 'a', 'b', 'c', 'b', 'e', 'b', 'c', 'b', 'c', 'b', 'a', 'd', 'a', 'a', 'a', 'd', 'd', 'd', 'c', 'b', 'd', 'a', 'd', 'c', 'd', 'c', 'b', 'b', 'a', 'a', 'd', 'e', 'b', 'd', 'e', 'c', 'b', 'c', 'd', 'b', 'd', 'c', 'e', 'a', 'd', 'a', 'c', 'd', 'c', 'd', 'a', 'd', 'a', 'c', 'a', 'd', 'b', 'b', 'e', 'd', 'e', 'd', 'a', 'e', 'c', 'b', 'e', 'b', 'd', 'd', 'e', 'e', 'e', 'b', 'b', 'c', 'c', 'a', 'b', 'b', 'd', 'b', 'a', 'd', 'd', 'b', 'd', 'e', 'c', 'd', 'c', 'c', 'e', 'e', 'e')",4200
2,spec_second_2.dot,10.0,"('a', 'b', 'b', 'e', 'b', 'a', 'e', 'a', 'c', 'b', 'a')",29,1,21204,1.22,"('d', 'd', 'a', 'e', 'c', 'a', 'd', 'a', 'c', 'b', 'a', 'd', 'c', 'a', 'e', 'a', 'e', 'e', 'b', 'd', 'b', 'a', 'a', 'c', 'c', 'c', 'c', 'e', 'b', 'c', 'd', 'b', 'c', 'e', 'c', 'd', 'a', 'b', 'c', 'd', 'e', 'a', 'e', 'b', 'd', 'c', 'e', 'a', 'a', 'a', 'd', 'a', 'b', 'b', 'd', 'd', 'd', 'd', 'd', 'd', 'd', 'a', 'a', 'e', 'a', 'b', 'c', 'd', 'e', 'c', 'b', 'b', 'e', 'a', 'e', 'c', 'a', 'a', 'e', 'b', 'a', 'b', 'e', 'e', 'e', 'c', 'c', 'e', 'b', 'c', 'a', 'a', 'd', 'a', 'a', 'e', 'c', 'b', 'a', 'd', 'b', 'a', 'a', 'd', 'b', 'a', 'a', 'b', 'b', 'c', 'c', 'e', 'e', 'c', 'a', 'b', 'e', 'c', 'a', 'b', 'b', 'e')",3200
