name,extraction_time,Timeout,dfa_extract_states,dfa_extract_final,dist_rnn_vs_inter,dist_rnn_vs_extr,dist_inter_vs_extr
13,1.25e+02,300,20,1,4.973742190360478e-05,5.474454491403479e-05,6.342355813211348e-06
22,6.49,300,9,7,1.6690410034766703e-06,1.6690410034766703e-06,0.0
12,2.25e+02,300,265,102,4.0724600484830756e-05,0.00019327494820259842,0.00015522081332333034
30,2.07e+02,300,252,62,0.0007961325586583718,0.001335900419182727,0.0007801097650249958
26,3.11e+02,300,262,69,0.0003174515988612627,0.0011486340185926445,0.001000089369283221
9,2.48e+02,300,213,130,0.00015855889533028368,0.00023399954868742918,8.612251577939619e-05
2,3.89e+02,300,272,17,0.0002710522589646113,0.0004720047957832024,0.0002009525368185911
11,2.51e+02,300,264,29,0.0001575574707281977,0.0013465822816049776,0.0012357579589741268
3,2.74,300,9,3,0.0,0.0,0.0
5,1.43e+02,300,260,4,0.019380904132371098,0.02042105048573776,0.021834394407481802
14,2.67e+02,300,250,40,0.0002350009732895152,0.0002380052470957732,9.01282141877402e-06
21,2.77e+02,300,211,106,0.0002096315500366698,0.00027973127218269,7.410542055436417e-05
19,3.91e+02,300,271,150,0.00024835330131732855,0.0002546956571305399,1.0348054221555356e-05
29,3.2e+02,300,264,105,0.0002370038224936872,0.0033387496233547313,0.0032159082054988484
25,3.1,300,8,3,0.0,0.0,0.0
10,2.69e+02,300,264,54,0.00024301237010620322,0.00036284951415582815,0.00012117237685240627
8,2.33e+03,300,257,86,0.007558752896545145,0.010943568051595833,0.01145162413305413
17,3.27e+03,300,284,61,0.0004553143857484357,0.00047534287779015574,8.144920096966151e-05
15,3.23e+03,300,263,193,9.380010439538888e-05,0.00021997960425822516,0.00014153467709482166
