name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_5.dot,10.6,beaecaacdcabadbaaadaeeedaecaeedacccccaccecaabaedbcaccbcededaeedaabeccdeadddccceddcadbbaacaaabebddcbebbbceeebbabcdaebddcebcaaaaaceaddacadadacbccccabbbbdcceceecbceadbbbeeaeaadacdeddddbbcecdcbbecadecbbdddeddccecebaacdecdaacabbcaceeecbcbcddacdeddbebddbcecbbdadacdeadbdacaedaccddbcdaaeceaecaaeabddceeeabeacacabcdcebaddaeedbadebabcceddaeeccdababbecccddeabdaebecccbcdbbdddcbedddcaaeaeeeaaedaecceadbacebdcddedcbaeaddcbeeacacaebceaedaddedbcabebacebdcedaccaeeaabdadaeaadcdccbcabeebeeecadbdaeeabaeceebeeaabdaeabbbadcaaaeeaebcbaecdaabdeeecabeeecdcaeebedbeeeacccaeecacabaccccdaaaeeaecbeedbbbbeadbccdeaebeabbcadaaedbabbcabaabbaaceeabdccacaddecdbdccdeeaaedceabdbedeabcddeeeeeaaaaeecccebbcdcbcddbddddecabdecadeeaedbdaddaeddcdcedddbedaecdeeeeeabcdaadaeddadebbadcecbecebacadccaddcecdbbabecbecdecacdcedaeabbdcbecabdecadabedbcccbbdcbaddbdebcceecbcedecaedcadeaeddbdcbdcddeadecbaecdcedacdebabbbadddaaeedcecd,4685
13,spec_4.dot,1.47,caeaeacebccaceaadcdaaeaadddcceaecdddaaeaccbd,3844
13,spec_1.dot,1.12,abdcbbabedebdecdbaebcbdcededeebdccdbeccdaddebcbdddadececbddddecbdccaccbabecdacadbbaacaebdceebcdaaddcdadcdcdeaaaeeacbbacbeceabeceaeaecaceebbaadabccdbbadcedcadebebdddccdbbaecbbecddbbaeecabadcddbebccabdcbeecbeeccaddbdeedaddcaadebbbecddaadaeec,1039
13,spec_3.dot,1.73,ddececdaaedbbcdeacceabac,4624
13,spec_2.dot,44.0,NAN,120000
22,spec_1.dot,18.6,accaeaadaabcbebcedbcbeddeaacbabadaecbcc,62839
22,spec_2.dot,35.5,NAN,120000
12,spec_5.dot,7.59,ebadcebccaedbbaabbbd,20020
12,spec_4.dot,32.8,cdcabdedceebeaebdbeddcdccaecdacacbbbbeecacddcee,85647
12,spec_1.dot,15.4,baddcadbbbcaedeebaeaaaaebcbcebbaeeccdedbccdeccaadeaedaeaaecdcdbbcdabcebdacebcccabceddcabbccdeadbdaaaddadbbcecedadbbbdeacdedcaabea,40729
