name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries
13,spec_5.dot,36.0,NAN,11,1,32250
13,spec_4.dot,60.2,"('a', 'a', 'b', 'b', 'a', 'e', 'd', 'c', 'c', 'e', 'b', 'a', 'd')",23,1,35179
13,spec_1.dot,1.29e+02,"('a', 'a', 'd', 'a', 'd', 'e', 'c', 'b', 'c', 'd', 'd', 'a', 'd', 'a', 'e', 'd')",41,1,43159
13,spec_3.dot,1.97e+02,"('a', 'a', 'b', 'a', 'c', 'd', 'a', 'e', 'd', 'a', 'e', 'a', 'a', 'd')",41,5,49034
13,spec_2.dot,39.0,NAN,11,1,32610
22,spec_1.dot,29.1,NAN,9,7,28631
22,spec_2.dot,26.7,NAN,9,7,28631
12,spec_5.dot,49.4,NAN,15,5,38399
12,spec_4.dot,1.56e+02,"('e', 'd', 'e', 'e', 'e', 'a', 'e', 'a', 'e', 'c', 'a', 'e', 'c', 'c', 'e', 'd', 'a', 'a', 'd')",45,15,58920
12,spec_1.dot,47.3,NAN,15,5,38360
12,spec_3.dot,29.6,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",21,5,6850
12,spec_2.dot,29.5,"('c', 'b', 'd', 'b', 'b', 'a', 'a', 'b', 'b', 'a')",22,5,11949
30,spec_5.dot,50.9,"('a', 'a', 'c', 'b', 'd', 'b', 'd', 'a', 'b', 'd', 'a', 'c')",33,9,17292
30,spec_4.dot,86.1,"('d', 'c', 'b', 'd', 'c', 'b', 'a', 'c', 'b')",45,11,31301
30,spec_1.dot,52.1,"('a', 'b', 'a', 'b', 'd', 'd', 'c', 'c', 'e', 'a', 'd', 'e', 'c', 'c', 'a', 'd')",38,9,21326
30,spec_3.dot,78.6,"('d', 'a', 'a', 'c', 'e', 'a', 'c', 'd')",28,6,14876
30,spec_2.dot,60.8,"('a', 'b', 'd', 'a', 'd', 'b', 'e', 'a', 'b', 'b')",32,6,18958
26,spec_5.dot,24.0,"('a', 'b', 'e', 'a', 'e', 'b', 'b', 'a', 'a', 'a', 'b')",28,5,14971
26,spec_4.dot,61.4,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'b', 'e')",27,5,12753
26,spec_1.dot,1.35e+02,"('a', 'b', 'e', 'a', 'b', 'c', 'c', 'd', 'b', 'c', 'd', 'b', 'a', 'b')",31,6,24308
26,spec_3.dot,87.9,"('a', 'c', 'd', 'e', 'b', 'b', 'b', 'd', 'd', 'e')",28,5,14779
26,spec_2.dot,32.9,"('b', 'e', 'a', 'd', 'c', 'c', 'c', 'a', 'e', 'b', 'a', 'e')",33,5,17008
9,spec_5.dot,67.8,"('a', 'c', 'e', 'a', 'b', 'c', 'b', 'a', 'c', 'd', 'c', 'a', 'b')",24,14,14185
9,spec_4.dot,18.8,"('b', 'b', 'e', 'a', 'c', 'a', 'a', 'c', 'c', 'c', 'e')",23,15,13650
9,spec_1.dot,2.02e+02,"('b', 'c', 'e', 'd', 'd', 'd', 'c', 'd', 'c')",44,27,41257
9,spec_3.dot,23.7,"('b', 'c', 'c', 'd', 'd', 'd', 'c', 'd', 'c', 'b', 'a')",23,14,14211
9,spec_2.dot,6.72e+02,NAN,140,80,425361
2,spec_5.dot,25.3,"('c', 'b', 'a', 'e', 'e', 'e', 'b', 'e')",23,1,11129
2,spec_4.dot,62.3,"('a', 'b', 'c', 'd', 'a', 'b', 'b', 'd', 'b', 'b', 'e')",32,1,20240
2,spec_1.dot,57.0,"('a', 'e', 'c', 'e', 'd', 'c', 'c', 'e', 'a', 'c', 'c', 'c')",25,2,15401
2,spec_3.dot,33.5,"('d', 'c', 'b', 'c', 'c', 'e', 'b', 'c', 'a', 'c', 'c')",22,1,14487
2,spec_2.dot,55.0,"('a', 'a', 'c', 'a', 'a', 'b', 'e', 'a', 'c', 'e')",22,1,15593
11,spec_5.dot,4.08e+02,"('e', 'a', 'e', 'a', 'd', 'a', 'c', 'c', 'd', 'c')",21,1,33832
11,spec_4.dot,73.5,"('e', 'c', 'a', 'a', 'c', 'a', 'e', 'c')",19,1,22545
11,spec_1.dot,8.62,"('e', 'a', 'd', 'a', 'c', 'c', 'd', 'c')",17,1,4468
11,spec_3.dot,2.17e+02,"('d', 'e', 'a', 'd', 'a', 'c', 'c', 'd', 'c')",50,3,66696
11,spec_2.dot,12.9,"('e', 'a', 'e', 'e', 'd', 'b')",15,1,7436
3,spec_5.dot,29.3,NAN,9,3,28690
3,spec_4.dot,28.7,NAN,9,3,28746
3,spec_1.dot,29.3,NAN,9,3,28676
3,spec_3.dot,28.8,NAN,9,3,28678
3,spec_2.dot,28.6,NAN,9,3,28706
5,spec_5.dot,63.6,"('c', 'e', 'a', 'b', 'e')",37,2,25619
5,spec_4.dot,4.73,"('c', 'e', 'a', 'b', 'e')",13,1,2958
5,spec_1.dot,9.8,"('c', 'e', 'a', 'b', 'e')",18,2,4736
5,spec_3.dot,56.9,"('c', 'e', 'a', 'b', 'e')",38,2,27842
5,spec_2.dot,6.38,"('c', 'e', 'a', 'b', 'e')",16,2,3747
14,spec_5.dot,2.65e+02,"('d', 'c', 'e', 'a', 'e', 'd', 'a', 'e', 'e', 'b')",43,8,48703
14,spec_4.dot,42.5,"('d', 'c', 'b', 'b', 'b', 'c', 'b', 'e', 'b', 'a', 'b', 'a')",49,5,73566
14,spec_1.dot,2.75,"('b', 'a', 'e', 'd', 'b', 'a', 'e', 'e', 'b', 'c', 'c')",19,2,7448
14,spec_3.dot,13.5,"('d', 'b', 'e', 'a', 'c', 'a', 'e')",40,4,32161
14,spec_2.dot,3.97,"('d', 'b', 'e', 'a', 'c', 'c', 'e')",19,2,11106
21,spec_5.dot,22.7,"('b', 'b', 'd', 'd', 'b', 'b', 'd', 'a', 'c', 'a', 'a', 'a', 'c')",26,15,14459
21,spec_4.dot,62.3,"('b', 'a', 'b', 'c', 'a', 'd', 'a', 'a', 'e', 'a', 'e', 'd')",25,13,13776
21,spec_1.dot,69.1,"('c', 'b', 'a', 'a', 'b', 'a', 'e', 'a', 'b', 'a', 'c')",30,11,29555
21,spec_3.dot,46.0,"('b', 'd', 'c', 'd', 'b', 'c', 'a', 'd', 'e', 'a', 'a', 'b')",30,17,20953
21,spec_2.dot,1.56e+02,"('c', 'b', 'a', 'a', 'a', 'c', 'b', 'd', 'b', 'a', 'd', 'e', 'a')",25,11,16960
19,spec_5.dot,2.28e+02,"('e', 'c', 'c', 'c', 'e', 'b', 'e', 'e', 'a', 'c', 'b', 'a', 'b')",52,31,46417
19,spec_4.dot,74.2,"('a', 'b', 'e', 'b', 'c', 'd', 'b', 'e', 'd')",26,17,11492
19,spec_1.dot,2.07e+02,"('a', 'a', 'b', 'e', 'b', 'a', 'e', 'a', 'e', 'c', 'b', 'c', 'a', 'a')",52,28,49034
19,spec_3.dot,2.56e+02,"('a', 'e', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'e', 'd')",54,35,59146
19,spec_2.dot,74.7,"('a', 'b', 'e', 'b', 'c', 'd', 'b', 'a', 'b', 'e')",27,18,12808
29,spec_5.dot,47.5,"('a', 'a', 'c', 'a', 'b', 'd', 'a', 'b', 'd', 'c')",25,8,9529
29,spec_4.dot,51.5,"('a', 'a', 'c', 'a', 'b', 'b', 'a', 'c', 'a', 'd', 'c', 'e', 'a')",27,9,14408
29,spec_1.dot,2.15e+02,"('b', 'a', 'b', 'c', 'a', 'b', 'b', 'b', 'e', 'c', 'b', 'a', 'a')",51,18,52332
29,spec_3.dot,62.9,"('b', 'e', 'e', 'b', 'b', 'b', 'a', 'd', 'e')",26,8,12257
29,spec_2.dot,51.3,"('b', 'b', 'c', 'a', 'a', 'b', 'b', 'a', 'b', 'd', 'b')",33,12,27189
25,spec_5.dot,28.5,NAN,8,3,27082
25,spec_4.dot,27.6,NAN,8,3,27082
25,spec_1.dot,27.7,NAN,8,3,27080
25,spec_3.dot,28.0,NAN,8,3,27082
