name,spec_num,mistake_time_rand,mistake_rand,rand_num_queries
12,spec_second_5.dot,34.1,"('a', 'a', 'e', 'b', 'b', 'e', 'e', 'c', 'a', 'e', 'd', 'a', 'e', 'd', 'a', 'a', 'b', 'e', 'd', 'a', 'e', 'e', 'a', 'd', 'e', 'd', 'e', 'c', 'd')",86600
12,spec_second_3.dot,94.7,"('d', 'c', 'a', 'a', 'c', 'e', 'e', 'b', 'e', 'e', 'e', 'b', 'c', 'e', 'e', 'b', 'c', 'e', 'b', 'e', 'd', 'c', 'd', 'c', 'a', 'a', 'a', 'a', 'd', 'b', 'e', 'a', 'c', 'a', 'e', 'e', 'e', 'a', 'a', 'b', 'b', 'd', 'd', 'b', 'c', 'b', 'd', 'e', 'e', 'a', 'a', 'c', 'e', 'c', 'a', 'a', 'a', 'e', 'd', 'c', 'a', 'c', 'b', 'd', 'd', 'b', 'e', 'e', 'a', 'd', 'a', 'c', 'c', 'a', 'c', 'd', 'c', 'd', 'd', 'b', 'b', 'b', 'b', 'a', 'b', 'd', 'e', 'e', 'e', 'b', 'a', 'b', 'e', 'd', 'a', 'b', 'd', 'd', 'c', 'c', 'b', 'a', 'c', 'e', 'b', 'a', 'e', 'e', 'a', 'b', 'c', 'c', 'd', 'a', 'c', 'e', 'c', 'a', 'b', 'e', 'a', 'c', 'a', 'c', 'a', 'e', 'b', 'a', 'c', 'd', 'b', 'c', 'd', 'd', 'd', 'e', 'e', 'a', 'e', 'a', 'd', 'd', 'e', 'd', 'a', 'a', 'a', 'e', 'a', 'd', 'b', 'b', 'a', 'd', 'b', 'b', 'a', 'a', 'b', 'd', 'd', 'c', 'd', 'e', 'e', 'b', 'c', 'c', 'c', 'd', 'a', 'd', 'd', 'e', 'c', 'e', 'b', 'a', 'd', 'b', 'c', 'b', 'e', 'a', 'e', 'e', 'b', 'c', 'a', 'b', 'c', 'c', 'a', 'c', 'd', 'b', 'b', 'a', 'e', 'c', 'c', 'e', 'b', 'c', 'd', 'c', 'c', 'c', 'd', 'c', 'c', 'b', 'c', 'd', 'e', 'e', 'c', 'e', 'e', 'c', 'e', 'c', 'b', 'b', 'a', 'b', 'c', 'e', 'c', 'c', 'b', 'b', 'd', 'e', 'b', 'd', 'b', 'c', 'e', 'e', 'b', 'e', 'e', 'c', 'a', 'e', 'b', 'b', 'e', 'e', 'b', 'e', 'b', 'd', 'd', 'e', 'a', 'd', 'b', 'c', 'a', 'a', 'c', 'd', 'd', 'e', 'a', 'c', 'd', 'e', 'c', 'a', 'e', 'd', 'a', 'c', 'd', 'a', 'c', 'd', 'c', 'a', 'a', 'e', 'a', 'a', 'e', 'd', 'd', 'c', 'e', 'a', 'b', 'e')",241600
30,spec_second_4.dot,4.0,"('b', 'd', 'd', 'c', 'b', 'c', 'b', 'b', 'b', 'e', 'c', 'a', 'e', 'a', 'a', 'a', 'a', 'a', 'e', 'd', 'd', 'c', 'd', 'e', 'b', 'e', 'b', 'a', 'e', 'b', 'b', 'a', 'c', 'd', 'b', 'a', 'b', 'e', 'a', 'a', 'b', 'd', 'b', 'e', 'd', 'c', 'b', 'c', 'b', 'c', 'b', 'd', 'e', 'b', 'c', 'a', 'e', 'e', 'b', 'b', 'c', 'a', 'e', 'e', 'c', 'a', 'e', 'd', 'a', 'e', 'e', 'd', 'c', 'a', 'b', 'd', 'e', 'e', 'a', 'd', 'a', 'd', 'd', 'e', 'b', 'd', 'a', 'a', 'a', 'd', 'd', 'e', 'a', 'c', 'c', 'b', 'c', 'a', 'a', 'c', 'c', 'e', 'd', 'a', 'e', 'c', 'd', 'e', 'e', 'a', 'c', 'd', 'e', 'a', 'd', 'e', 'b', 'e', 'b', 'c', 'b', 'd', 'c', 'a', 'a', 'c', 'd', 'e', 'd', 'b', 'e', 'b', 'a', 'e', 'd', 'a', 'a', 'e', 'd', 'c', 'a', 'd', 'c', 'b', 'e', 'c', 'b', 'c', 'd', 'b', 'd', 'e', 'e', 'a', 'a', 'b', 'c', 'b', 'c', 'd', 'b', 'a', 'd', 'e', 'b', 'a', 'b', 'b', 'a', 'e', 'e', 'b', 'e', 'e', 'b', 'd', 'e', 'b', 'c', 'e', 'e', 'e', 'c', 'c', 'a', 'e', 'd', 'd', 'c', 'd', 'a', 'c', 'c', 'e', 'c', 'e', 'c', 'e', 'e', 'c', 'b', 'a', 'a', 'a', 'c', 'a', 'd', 'b', 'a', 'a', 'e', 'e', 'd', 'c', 'c', 'a', 'a', 'a', 'c', 'c', 'e', 'b', 'd', 'c', 'd', 'b', 'a', 'e', 'c', 'e', 'a', 'c', 'e', 'a', 'b', 'c')",7400
30,spec_second_2.dot,3.87,"('b', 'e', 'd', 'e', 'b', 'a', 'b', 'b', 'b', 'b', 'd', 'c', 'd', 'e', 'e', 'b', 'a', 'a', 'e', 'a', 'c', 'b', 'b', 'c', 'b', 'c', 'a', 'b', 'a', 'e', 'a', 'e', 'c', 'd', 'a', 'c', 'e', 'e', 'a', 'a', 'a', 'b', 'd', 'e', 'd', 'c', 'e', 'b', 'd', 'a', 'd', 'b', 'e', 'c', 'b', 'a', 'b', 'a', 'b', 'b', 'd', 'c', 'c', 'd', 'd', 'a', 'b', 'c', 'e', 'd', 'a', 'd', 'b', 'e', 'b', 'a', 'd', 'c', 'd', 'a', 'a', 'c', 'e', 'b', 'e', 'b', 'a', 'b', 'e', 'a', 'e', 'b', 'b', 'e', 'e', 'b', 'd', 'd', 'a', 'c', 'e', 'a', 'a', 'c', 'c')",7000
30,spec_second_1.dot,4.13,"('a', 'e', 'b', 'c', 'e', 'e', 'e', 'a', 'c', 'd', 'a', 'd', 'c', 'e', 'a', 'c', 'a', 'e', 'b', 'd', 'a', 'e', 'd', 'b', 'b', 'e')",7400
30,spec_second_5.dot,0.623,"('b', 'c', 'c', 'a', 'd', 'e', 'c', 'c', 'b', 'e', 'a', 'e', 'a', 'e', 'b', 'd', 'a', 'e', 'd', 'd', 'a', 'b', 'e', 'e', 'c', 'c', 'd', 'b', 'b', 'b', 'b', 'a', 'b', 'b', 'c', 'd', 'c', 'd', 'a', 'a', 'e', 'b', 'c', 'c', 'd', 'a', 'c', 'c', 'e', 'b', 'c', 'c', 'a', 'c', 'b', 'e', 'e', 'e', 'e', 'b', 'b', 'e', 'c', 'd', 'd', 'b', 'e', 'e', 'a', 'e', 'a', 'c', 'c', 'b', 'a', 'd', 'c', 'c', 'e', 'b', 'c', 'd', 'a', 'd', 'b', 'e', 'b', 'c', 'b', 'c', 'c', 'b', 'e', 'e', 'c')",1200
30,spec_second_3.dot,6.56,"('e', 'a', 'd', 'd', 'a', 'e', 'c', 'd', 'c', 'd', 'c', 'e', 'd', 'b', 'b', 'a', 'a', 'b', 'c', 'b', 'b', 'd', 'a', 'b', 'd', 'c', 'c', 'b', 'c', 'd', 'a', 'c', 'e', 'c', 'd', 'c', 'b', 'a', 'e', 'e', 'd', 'd', 'b', 'e', 'a', 'c', 'c', 'e', 'd', 'd', 'e', 'a', 'd', 'd', 'e', 'd', 'd', 'a', 'b', 'b', 'a', 'a', 'a', 'd', 'e', 'e', 'a', 'b', 'd', 'd', 'a', 'd', 'a', 'b', 'e', 'd', 'b', 'a', 'c', 'e', 'c', 'c', 'b', 'b', 'c', 'c', 'e', 'b', 'd', 'b', 'd', 'a', 'a', 'b', 'a', 'b', 'b', 'd', 'a', 'c', 'b', 'e', 'b', 'b', 'e', 'a', 'a', 'b', 'c', 'c', 'd', 'a', 'c', 'd', 'a', 'b', 'c', 'e', 'e', 'b', 'c', 'b', 'a', 'c', 'b', 'c', 'e', 'c', 'e', 'a', 'd', 'a', 'e', 'c', 'e')",11800
26,spec_second_4.dot,33.3,"('a', 'a', 'e', 'd', 'c', 'c', 'a', 'c', 'a', 'b', 'c', 'e', 'd', 'b', 'a', 'c', 'd', 'd', 'c', 'e', 'a', 'a', 'c', 'd', 'd', 'a', 'e', 'b', 'e', 'b', 'e', 'a', 'e', 'e', 'c', 'c', 'e', 'b', 'd', 'e', 'a', 'e', 'e', 'e', 'c', 'e', 'c', 'a', 'c', 'b', 'a', 'd', 'c', 'b', 'b', 'e', 'c', 'c', 'e', 'a', 'e', 'd', 'c', 'b', 'c', 'd', 'a', 'b', 'a')",62400
26,spec_second_2.dot,4.2,"('b', 'd', 'd', 'd', 'e', 'd', 'a', 'd', 'd', 'a', 'a', 'c', 'b', 'c', 'e', 'c', 'b', 'd', 'd', 'd', 'b', 'd', 'd', 'e', 'a', 'a', 'e', 'd', 'c')",7800
26,spec_second_1.dot,2.86,"('b', 'b', 'b', 'b', 'd', 'd', 'b', 'c', 'a', 'e', 'b', 'b', 'a', 'd', 'e', 'c', 'c', 'd', 'a', 'd', 'c', 'd', 'b', 'e', 'a', 'd', 'e', 'a', 'e', 'b', 'd', 'c', 'c', 'b', 'd', 'e', 'b', 'c', 'c', 'b', 'a', 'd', 'c', 'e', 'c', 'c', 'd', 'b', 'e', 'c', 'b', 'c', 'c', 'e', 'e', 'c', 'c', 'e', 'e', 'e', 'b', 'e', 'd', 'a', 'b', 'e', 'a', 'a', 'a', 'e', 'a', 'd', 'a', 'd', 'a', 'd', 'a', 'b', 'a', 'd', 'c', 'e', 'a', 'd', 'd', 'e', 'a', 'b', 'b', 'e', 'c', 'b', 'a', 'e', 'e', 'd', 'c', 'd', 'b', 'c', 'e', 'c', 'a', 'c', 'd', 'a', 'c', 'c', 'e', 'c', 'e', 'c', 'a', 'e', 'd', 'e', 'c', 'd', 'a', 'c', 'e', 'c', 'a', 'c', 'd', 'd', 'b', 'd', 'a', 'c', 'd', 'a', 'a', 'c', 'd', 'd', 'a', 'b', 'e', 'a', 'e', 'b', 'b')",5400
