name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,spec_5.dot,9.11,NAN,11,1,4394,5.48,"('d', 'e', 'a', 'e', 'd', 'b', 'b', 'd', 'b', 'a', 'e', 'a', 'b', 'b', 'a', 'e', 'e', 'b', 'd', 'e', 'd')",10800
13,spec_4.dot,9.44,NAN,11,1,4319,15.6,"('d', 'd', 'd', 'b', 'a', 'a', 'c', 'b', 'b', 'b', 'e', 'c', 'd', 'a', 'e', 'a', 'd', 'c', 'c', 'd', 'e', 'd', 'c', 'e', 'd', 'c', 'e', 'b', 'a', 'd', 'e', 'd', 'b', 'a', 'd', 'd', 'd', 'd', 'd', 'e', 'd', 'b', 'b', 'b', 'b', 'c', 'c', 'e', 'b', 'e', 'd', 'a', 'b', 'b', 'b', 'b', 'b', 'e', 'e', 'c', 'e', 'a', 'a', 'c', 'c', 'e', 'c', 'b', 'c', 'd', 'b', 'c', 'd', 'c', 'e', 'e', 'e', 'c', 'c', 'b', 'd', 'b', 'a', 'a', 'd', 'd', 'c', 'b', 'e', 'b', 'e', 'b', 'c', 'b', 'c', 'e', 'c', 'e', 'a', 'e', 'a', 'd', 'd', 'd', 'd', 'a', 'a', 'e', 'd', 'b', 'a', 'a', 'd', 'e', 'a', 'b', 'b', 'c', 'd', 'b', 'd', 'e', 'e', 'c', 'a', 'd', 'e', 'e', 'd', 'a', 'e', 'c')",31000
13,spec_1.dot,11.1,NAN,11,1,4321,11.6,"('e', 'a', 'e', 'b', 'b', 'e', 'b', 'a', 'b', 'e', 'e', 'e', 'e', 'e', 'd', 'c', 'a', 'c', 'c', 'b', 'b', 'd', 'd', 'c', 'c', 'd', 'd', 'a', 'e', 'b', 'c', 'e', 'a', 'e', 'd', 'b', 'a', 'c', 'c', 'b', 'c', 'c', 'd', 'd', 'e', 'd', 'c', 'c', 'a', 'e', 'a', 'd', 'c', 'b', 'a', 'e', 'e', 'e', 'd', 'b', 'b', 'c', 'd', 'a', 'd', 'c', 'd', 'a', 'a', 'e', 'e', 'b', 'c', 'c', 'e', 'b', 'd', 'a', 'c', 'd', 'a', 'c', 'a', 'a', 'c', 'b', 'd', 'a', 'a', 'a', 'e', 'b', 'c', 'e', 'a', 'b', 'e', 'e', 'e', 'a', 'a', 'b', 'e', 'e', 'b', 'c', 'e', 'd', 'e', 'e', 'a', 'a', 'b', 'c', 'c', 'b', 'e', 'e', 'd', 'a', 'b', 'c', 'b', 'd', 'c', 'e', 'd', 'a', 'b', 'e', 'a', 'e', 'c', 'a', 'a', 'd', 'e', 'e', 'c', 'd', 'd', 'd', 'a', 'd', 'd', 'b', 'b', 'c', 'e', 'd', 'a', 'c', 'c', 'b', 'a', 'd', 'd', 'a', 'e', 'e', 'b', 'd', 'c', 'b', 'd', 'e', 'c', 'b', 'd', 'a', 'd', 'a', 'b', 'e', 'c', 'e', 'd', 'c', 'e', 'd', 'e', 'c', 'e', 'a', 'b', 'd', 'b', 'c', 'a', 'c', 'd', 'b', 'a', 'e', 'b', 'e', 'b', 'b', 'b', 'a', 'c', 'c', 'a', 'c', 'b', 'b', 'b', 'd', 'e', 'b', 'c', 'b', 'b', 'd', 'c', 'c', 'e', 'a', 'c', 'b', 'a', 'c', 'a', 'e', 'a', 'e', 'c', 'a', 'a', 'a', 'b', 'c', 'b', 'a', 'b', 'd', 'e', 'b', 'e', 'e', 'd', 'b', 'c', 'b', 'b', 'b', 'd', 'e', 'e', 'a', 'e', 'b', 'c', 'a', 'a', 'b', 'c', 'a', 'a', 'd', 'a', 'c', 'a', 'b', 'd', 'c', 'e', 'a', 'd', 'a', 'a', 'e', 'e', 'd', 'a', 'b', 'e', 'c', 'a', 'a', 'e', 'c')",23000
13,spec_3.dot,9.19,NAN,11,1,4156,5.6,"('b', 'c', 'b', 'e', 'a', 'c', 'b', 'c', 'a', 'a', 'd', 'c', 'e', 'c')",11400
13,spec_2.dot,11.7,NAN,11,1,4466,3.78,"('b', 'e', 'e', 'a', 'a', 'd', 'e', 'a', 'e', 'e', 'e', 'b', 'a', 'e', 'c', 'e', 'a', 'c', 'b', 'c', 'a', 'a', 'a', 'c', 'd', 'a', 'a', 'a', 'e', 'e', 'd', 'b', 'c', 'a', 'e', 'd', 'e', 'a', 'e', 'c', 'a', 'd', 'd', 'a', 'a', 'e', 'e', 'b', 'c', 'c', 'c', 'c', 'c', 'e', 'e', 'b', 'c', 'c', 'a', 'c', 'd', 'a', 'a', 'e', 'a', 'c', 'c', 'a', 'e', 'b', 'e', 'd', 'c', 'd')",7200
22,spec_1.dot,6.02,NAN,9,7,3231,50.9,NAN,120000
22,spec_2.dot,5.67,NAN,9,7,3231,48.1,NAN,120000
12,spec_5.dot,11.2,NAN,15,5,5538,12.5,"('e', 'b', 'e', 'a', 'c', 'c', 'e', 'c', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'c', 'a', 'b', 'a', 'a', 'c', 'e', 'c', 'd', 'e', 'b', 'd', 'b', 'b', 'a', 'a', 'c', 'd', 'c', 'e', 'b', 'b', 'a', 'a', 'c', 'b', 'c', 'a', 'c', 'e', 'a', 'a', 'b', 'c', 'e', 'a', 'e', 'c', 'b', 'd', 'c', 'b', 'c', 'd', 'a', 'b', 'a', 'a', 'a')",22400
12,spec_4.dot,11.0,NAN,15,5,5545,10.8,"('d', 'd', 'd', 'd', 'd', 'e', 'a', 'c', 'd', 'b', 'c', 'e', 'b', 'd', 'c', 'e', 'a', 'd', 'b', 'b', 'd', 'e', 'a', 'e', 'd', 'c', 'd', 'c', 'a', 'd', 'a', 'b', 'b', 'a', 'b', 'c', 'b', 'e', 'b', 'd', 'd', 'c', 'c', 'b', 'a', 'b', 'd', 'b', 'd', 'a', 'e', 'a', 'c', 'e', 'e', 'a', 'b', 'b', 'd', 'b', 'c', 'c', 'a', 'c', 'c', 'b', 'e', 'e', 'e', 'e', 'd', 'd', 'b', 'd', 'd', 'b', 'e', 'd', 'a', 'd', 'b', 'e', 'a', 'e', 'c', 'c', 'e', 'b', 'a', 'c', 'd', 'a', 'b', 'c', 'c', 'd', 'd', 'a', 'e', 'd', 'e', 'c', 'c', 'b', 'a', 'b', 'b', 'c', 'a', 'd', 'e', 'b', 'b', 'a', 'd', 'a', 'e', 'b', 'e', 'c', 'b', 'a', 'd', 'b', 'a', 'b', 'a', 'c', 'a', 'c', 'd', 'c', 'b', 'a', 'e', 'e', 'b', 'a', 'd', 'c', 'a', 'd', 'd', 'b', 'c', 'c', 'e', 'e', 'c', 'c', 'a', 'a', 'e', 'b', 'e', 'c', 'c', 'b', 'd', 'd', 'c', 'a', 'e', 'e', 'd', 'e', 'c', 'c', 'e', 'e', 'b', 'a', 'd', 'c', 'b', 'c')",17200
12,spec_1.dot,10.6,NAN,15,5,5599,65.2,NAN,120000
