name,spec_num,spec_states,spec_fin,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
11,1,14,13,18.6,"('e', 'a', 'e', 'a', 'd', 'a', 'd', 'b', 'a', 'e', 'c', 'a', 'b', 'a', 'e', 'd')",25,1,38443,6.06e+02,NAN,462,54,6482500,51.0,eaecdbcdcbebacdaecddcaeeacbbdabbcdacbdebccadceedabeeadaccaed,117260
11,2,14,2,14.1,"('d', 'c', 'd', 'e', 'c', 'a', 'a', 'c', 'd', 'c')",39,4,39787,6.34e+02,"('e', 'a', 'e', 'e', 'd', 'b')",462,53,6295111,7.7,ddcceeeccdb,18011
11,3,14,8,9.07,"('e', 'a', 'd', 'a', 'c', 'c', 'c', 'a', 'a', 'b', 'e')",29,2,25648,6.35e+02,NAN,450,59,5605934,14.2,debddceadbaedadadadaeddbcbdabcdedbebeaebdbcbedabbecdeddeccdcbaeedcaaaadaabdcddbcebadcabdebeedddbacacacbaeaebebaecbcccbdeddcdbdddecdddeaecabeedbccabaacbaecceaecaccebaaeebcdbecadadedeabdbbdedccaacabeaecebedebebacddeaeccaabe,31821
11,4,14,4,11.9,"('a', 'a', 'e', 'd', 'd', 'a', 'a', 'a', 'a', 'c', 'a', 'a', 'a', 'b')",24,2,30009,6.06e+02,NAN,450,51,5938679,8.59,aaadaaecbbcdbdedeebdbcceeadacdedabcadacaceaeedb,19447
11,5,14,7,87.4,"('e', 'e', 'e', 'e', 'e', 'a', 'e', 'b', 'a', 'a', 'c', 'e')",96,10,231517,6.01e+02,NAN,474,52,6231854,15.5,deaeecaaacdaecacddbaccaccdd,36027
3,1,9,8,12.4,NAN,9,3,34261,9.14,NAN,9,3,23732,45.1,NAN,120000
3,2,9,5,12.8,NAN,9,3,34287,7.36,NAN,9,3,19007,44.8,NAN,120000
3,3,9,5,15.0,NAN,9,3,39706,8.83,NAN,9,3,22176,44.7,NAN,120000
3,4,9,7,12.0,NAN,9,3,31542,9.07,NAN,9,3,23722,44.7,NAN,120000
3,5,9,7,14.4,NAN,9,3,36865,11.0,NAN,9,3,28470,45.1,NAN,120000
