name,spec_num,during_time_spec,extraction_mistake_during,dfa_extract_specs_states,dfa_extract_specs_final,dfa_extract_spec_mem_queries,mistake_time_extraction,extraction_mistake_after,dfa_extract_states,dfa_extract_final,dfa_extract_mem_queries,mistake_time_rand,mistake_rand,rand_num_queries
13,1,2.04,NAN,11,1,5257,3.31,NAN,11,1,6294,45.2,NAN,120000
13,2,1.65,NAN,11,1,4500,1.28,NAN,11,1,4138,45.1,NAN,120000
13,3,1.36,NAN,11,1,4317,1.84,NAN,11,1,4478,42.5,"('e', 'd', 'a', 'a', 'd', 'c', 'd', 'd', 'b', 'c', 'c', 'e', 'd', 'c', 'c', 'e', 'e', 'b', 'b', 'a', 'b', 'd', 'd', 'e', 'a', 'c', 'e', 'e', 'b', 'd', 'c', 'b', 'e', 'e', 'a', 'd', 'd', 'd', 'd', 'c', 'a', 'a', 'c', 'a', 'c', 'e', 'c', 'e', 'e', 'c', 'd', 'd', 'c', 'a', 'c', 'c', 'c', 'c', 'd', 'b', 'e', 'b', 'b', 'd', 'a', 'b', 'b', 'a', 'c', 'd', 'b', 'b', 'd', 'c', 'b', 'c', 'd', 'e', 'a', 'e', 'b', 'a', 'c', 'd', 'd', 'a', 'a', 'e', 'd', 'a', 'a', 'e', 'b', 'd', 'd', 'e', 'a', 'd', 'e', 'c', 'e', 'c', 'b', 'd')",113600
13,4,1.38,NAN,11,1,4227,1.91,NAN,11,1,5026,7.0,"('b', 'a', 'd', 'a', 'd', 'a', 'a', 'e', 'e', 'a', 'e', 'd')",18600
13,5,1.57,NAN,11,1,4394,2.2,NAN,11,1,5238,16.5,"('c', 'c', 'e', 'c', 'd', 'c', 'e', 'b', 'b', 'c', 'b', 'd', 'c', 'd', 'd', 'a', 'd', 'd', 'd', 'a', 'c', 'd', 'c', 'e', 'e', 'b', 'e', 'b', 'c', 'b', 'b', 'c', 'a', 'b', 'd', 'c', 'b', 'd', 'c', 'c', 'd')",44000
22,1,0.907,NAN,9,7,3108,1.71,NAN,9,7,3935,37.0,NAN,120000
22,2,0.891,NAN,9,7,3231,1.11,NAN,9,7,3046,38.6,NAN,120000
12,1,1.98,NAN,15,5,5595,3.23,"('c', 'a', 'b', 'a', 'c', 'd', 'c', 'd', 'e', 'e', 'e', 'a')",24,8,9971,52.6,NAN,120000
12,2,1.75,NAN,15,5,5576,1.85,NAN,15,5,5196,23.7,"('d', 'a', 'c', 'a', 'a', 'd', 'd', 'a', 'c', 'e', 'd', 'a', 'a', 'a', 'a', 'e', 'b', 'e', 'e', 'd', 'e', 'a', 'a', 'b', 'c', 'a', 'a', 'c', 'e', 'a', 'c', 'e', 'a', 'd', 'e', 'c', 'c', 'a', 'd', 'a', 'e', 'a', 'c', 'c', 'c', 'd', 'a', 'a', 'e', 'b', 'a', 'b', 'd', 'a', 'a', 'a', 'e', 'e', 'e', 'c', 'a', 'd', 'c', 'b', 'd', 'c', 'a', 'b', 'e', 'e', 'a', 'c', 'e', 'c', 'b', 'a', 'b', 'c', 'e', 'd', 'b', 'a', 'a', 'b', 'b', 'e', 'b', 'd', 'e', 'c', 'd', 'c', 'e', 'e', 'd', 'd', 'd', 'd', 'b', 'a', 'd', 'a', 'e', 'd', 'd', 'e', 'd', 'd', 'b', 'c', 'b', 'a', 'd', 'e', 'e', 'e', 'b', 'e', 'e', 'b', 'd', 'a', 'd', 'c', 'd', 'd', 'c', 'c', 'c', 'd', 'c', 'c', 'd', 'b', 'a', 'b', 'b', 'd', 'a', 'e', 'd', 'd', 'e', 'a', 'b', 'a', 'a', 'b', 'a', 'e', 'c', 'd', 'a', 'c', 'e', 'd', 'b', 'e', 'd', 'b', 'c', 'e', 'd', 'a', 'd', 'd', 'd', 'e', 'c', 'e', 'b', 'd', 'e', 'd', 'b', 'c', 'd', 'c', 'c', 'e', 'e', 'a', 'b', 'c', 'c', 'd', 'a', 'c', 'a', 'c', 'a', 'b', 'c', 'c', 'c', 'a', 'b', 'a', 'e', 'c', 'a', 'd', 'a', 'c', 'c', 'd', 'e', 'c', 'e', 'e', 'c', 'a', 'd', 'e', 'b', 'd', 'b', 'c', 'b', 'b', 'a', 'd', 'a', 'd', 'e', 'c', 'd', 'a', 'e', 'a', 'e', 'e', 'b', 'e', 'b', 'e', 'c', 'd', 'b', 'a', 'e', 'd', 'c', 'b', 'd', 'b', 'e', 'd', 'd', 'e', 'a', 'b', 'e', 'a', 'd', 'a', 'e', 'b', 'b', 'b', 'b', 'd', 'd', 'e', 'd', 'e', 'b', 'd', 'd', 'b')",59600
12,3,16.3,"('a', 'e', 'b', 'a', 'e', 'a', 'e', 'c', 'c', 'e', 'e', 'e', 'a', 'd')",43,11,32964,3.01,"('b', 'd', 'e', 'c', 'e', 'a', 'd', 'c', 'c', 'd')",23,9,11264,47.5,NAN,120000
12,4,2.05,NAN,15,5,5580,2.1,NAN,15,5,5851,4.05,"('d', 'e', 'a', 'd', 'd', 'a', 'e', 'c', 'a', 'd', 'a', 'b', 'c', 'b', 'd', 'c', 'b', 'b', 'c', 'e', 'b', 'b', 'c', 'd', 'a', 'b', 'a', 'b', 'c', 'b', 'c', 'b', 'd', 'e', 'b', 'd', 'e', 'c', 'c', 'b', 'a', 'a', 'e', 'c', 'c', 'c', 'b', 'd', 'b', 'b', 'a', 'a', 'a', 'e', 'a', 'b', 'a', 'd', 'b', 'c', 'b', 'c', 'c', 'd', 'b', 'e', 'd', 'c', 'a', 'd', 'a', 'b', 'c')",10800
